aact_name,clean,nontherap_reason,n_trials
Placebo,Placebo,ext:placebo,24989
placebo,placebo,ext:placebo,2885
Saline,Saline,ext:saline,658
Placebos,Placebos,ext:placebo,527
Normal saline,Normal saline,ext:saline,483
Placebo Oral Tablet,Placebo Oral Tablet,ext:placebo,392
Normal Saline,Normal Saline,ext:saline,298
Placebo oral capsule,Placebo oral capsule,ext:placebo,297
Placebo oral tablet,Placebo oral tablet,ext:placebo,250
Vehicle,Vehicle,ext:vehicle,234
normal saline,normal saline,ext:saline,206
Matching Placebo,Matching Placebo,ext:placebo,144
saline,saline,ext:saline,119
Magnesium Sulfate,Magnesium Sulfate,ext:magnesium sulfate,110
Placebo Comparator,Placebo Comparator,ext:placebo,109
Matching placebo,Matching placebo,ext:placebo,89
Comparator: Placebo,Comparator: Placebo,ext:placebo,82
Oxygen,Oxygen,ext:oxygen,82
Placebo tablet,Placebo tablet,ext:placebo,68
Placebo Administration,Placebo Administration,ext:placebo,66
Saline Solution,Saline Solution,ext:saline,64
Mannitol,Mannitol,ext:mannitol,60
Magnesium sulfate,Magnesium sulfate,ext:magnesium sulfate,60
Placebo comparator,Placebo comparator,ext:placebo,58
PLACEBO,PLACEBO,ext:placebo,57
Placebo capsule,Placebo capsule,ext:placebo,54
Placebo Oral Capsule,Placebo Oral Capsule,ext:placebo,53
Placebo gel,Placebo gel,ext:placebo,50
Comparator: placebo,Comparator: placebo,ext:placebo,49
18F-FDG,18F-FDG,radiotracer/imaging,44
Alcohol,Alcohol,ext:alcohol,42
Placebo capsules,Placebo capsules,ext:placebo,41
Vehicle Cream,Vehicle Cream,ext:vehicle,41
Sodium chloride,Sodium chloride,canonical:Sodium Chloride,39
Isotonic saline,Isotonic saline,ext:saline,38
0.9% saline,0.9% saline,ext:saline,37
Sodium bicarbonate,Sodium bicarbonate,ext:sodium bicarbonate,37
Ethanol,Ethanol,ext:ethanol,37
Saline solution,Saline solution,ext:saline,37
Placebo tablets,Placebo tablets,ext:placebo,35
Oral Placebo,Oral Placebo,ext:placebo,34
Placebo Patch,Placebo Patch,ext:placebo,34
Placebo pill,Placebo pill,ext:placebo,34
Placebo control,Placebo control,ext:placebo,33
Placebo IV,Placebo IV,ext:placebo,32
Saline 0.9%,Saline 0.9%,ext:saline,31
NaCl 0.9%,NaCl 0.9%,canonical:NaCl 0.9%,30
NaCl,NaCl,ext:nacl,29
Placebo cream,Placebo cream,ext:placebo,29
Placebo solution,Placebo solution,ext:placebo,29
Placebo patch,Placebo patch,ext:placebo,28
Placebo Control,Placebo Control,ext:placebo,28
Vehicle cream,Vehicle cream,ext:vehicle,28
Glucose,Glucose,ext:glucose,27
Iron sucrose,Iron sucrose,ext:sucrose,27
matching placebo,matching placebo,ext:placebo,27
Gadolinium,Gadolinium,ext:gadolinium,27
Placebo Tablet,Placebo Tablet,ext:placebo,27
placebo gel,placebo gel,ext:placebo,27
Placebo SC,Placebo SC,ext:placebo,27
Vehicle gel,Vehicle gel,ext:vehicle,26
Placebo Gel,Placebo Gel,ext:placebo,26
saline solution,saline solution,ext:saline,26
Placebo injection,Placebo injection,ext:placebo,26
Placebo group,Placebo group,ext:placebo,25
Placebo Capsule,Placebo Capsule,ext:placebo,25
0.9% sodium chloride,0.9% sodium chloride,canonical:Sodium Chloride,25
177Lu-PSMA-617,177Lu-PSMA-617,radiotracer/imaging,25
Sodium Bicarbonate,Sodium Bicarbonate,ext:sodium bicarbonate,25
Sodium Chloride,Sodium Chloride,canonical:Sodium Chloride,25
Saline placebo,Saline placebo,ext:placebo,24
Placebo nasal spray,Placebo nasal spray,ext:placebo,24
Placebo Tablets,Placebo Tablets,ext:placebo,23
Saline Placebo,Saline Placebo,ext:placebo,23
Placebo Injection,Placebo Injection,ext:placebo,23
normal Saline,normal Saline,ext:saline,23
Hypertonic saline,Hypertonic saline,ext:saline,23
0.9% Sodium Chloride Injection,0.9% Sodium Chloride Injection,canonical:Sodium Chloride,22
Placebo (semaglutide),Placebo (semaglutide),ext:placebo,22
Sodium Chloride 0.9%,Sodium Chloride 0.9%,canonical:Sodium Chloride,21
Linaclotide,Linaclotide,ext:nacl,21
Hyperbaric oxygen,Hyperbaric oxygen,ext:oxygen,20
Comparator: placebo (unspecified),Comparator: placebo (unspecified),ext:placebo,20
68Ga-PSMA-11,68Ga-PSMA-11,radiotracer/imaging,20
"Saline (NaCl 0,9 %) (placebo)","Saline (NaCl 0,9 %) (placebo)",ext:placebo,20
Sterile Normal Saline (0.9% NaCl),Sterile Normal Saline (0.9% NaCl),ext:saline,19
motexafin gadolinium,motexafin gadolinium,ext:gadolinium,19
Vehicle Foam,Vehicle Foam,ext:vehicle,19
sodium chloride,sodium chloride,canonical:Sodium Chloride,19
Vehicle Gel,Vehicle Gel,ext:vehicle,19
Flortaucipir F18,Flortaucipir F18,radiotracer/imaging,19
0.9% NaCl,0.9% NaCl,ext:nacl,19
florbetapir F 18,florbetapir F 18,radiotracer/imaging,18
Dextrose,Dextrose,ext:dextrose,18
Placebo - Cap,Placebo - Cap,ext:placebo,18
18F-DCFPyL,18F-DCFPyL,radiotracer/imaging,18
Placebo (saline),Placebo (saline),ext:placebo,18
magnesium sulfate,magnesium sulfate,ext:magnesium sulfate,18
isotonic saline,isotonic saline,ext:saline,17
Oral placebo,Oral placebo,ext:placebo,17
Intranasal placebo,Intranasal placebo,ext:placebo,17
Placebo 2,Placebo 2,ext:placebo,17
Inhaled Placebo,Inhaled Placebo,ext:placebo,17
0.9% Sodium Chloride,0.9% Sodium Chloride,canonical:Sodium Chloride,17
sodium bicarbonate,sodium bicarbonate,ext:sodium bicarbonate,17
Comparator: Placebo (unspecified),Comparator: Placebo (unspecified),ext:placebo,17
Placebo infusion,Placebo infusion,ext:placebo,17
Vehicle Ophthalmic Solution,Vehicle Ophthalmic Solution,ext:vehicle,16
Sodium Chloride 0.9% Inj,Sodium Chloride 0.9% Inj,canonical:Sodium Chloride,16
Placebo 1,Placebo 1,ext:placebo,16
0.9% normal saline,0.9% normal saline,ext:saline,16
Moxifloxacin Placebo,Moxifloxacin Placebo,ext:placebo,16
Placebo Cream,Placebo Cream,ext:placebo,16
Matched placebo,Matched placebo,ext:placebo,15
placebo capsule,placebo capsule,ext:placebo,15
oxygen,oxygen,ext:oxygen,15
Ringer's Lactate,Ringer's Lactate,ext:ringer,15
68Ga-FAPI,68Ga-FAPI,radiotracer/imaging,15
Placebo MDI,Placebo MDI,ext:placebo,15
Saline injection,Saline injection,ext:saline,15
Lactated Ringer,Lactated Ringer,ext:ringer,15
0.9% Saline,0.9% Saline,ext:saline,14
Sodium chloride 0.9%,Sodium chloride 0.9%,canonical:Sodium Chloride,14
0.9%sodium chloride,0.9%sodium chloride,canonical:Sodium Chloride,14
Intravenous Placebo,Intravenous Placebo,ext:placebo,14
Sterile water,Sterile water,ext:sterile water,14
Placebo Nasal Spray,Placebo Nasal Spray,ext:placebo,14
0.9% Normal Saline,0.9% Normal Saline,ext:saline,14
IV Placebo,IV Placebo,ext:placebo,14
Placebo - Concentrate,Placebo - Concentrate,ext:placebo,14
Placebo to indacaterol,Placebo to indacaterol,ext:placebo,14
Ringer lactate,Ringer lactate,ext:ringer,13
Normal Saline (Placebo),Normal Saline (Placebo),ext:placebo,13
mannitol,mannitol,ext:mannitol,13
Hypertonic Saline,Hypertonic Saline,ext:saline,13
placebo patch,placebo patch,ext:placebo,13
Placebo Capsules,Placebo Capsules,ext:placebo,13
saline placebo,saline placebo,ext:placebo,12
Placebo Drug,Placebo Drug,ext:placebo,12
Placebo administration,Placebo administration,ext:placebo,12
placebo comparator,placebo comparator,ext:placebo,12
Normal Saline (0.9% NaCl),Normal Saline (0.9% NaCl),ext:saline,12
Placebo DPI,Placebo DPI,ext:placebo,12
68Ga-PSMA,68Ga-PSMA,radiotracer/imaging,12
Matched Placebo,Matched Placebo,ext:placebo,12
Saline Solution for Injection,Saline Solution for Injection,ext:saline,12
Placebo Ophthalmic Solution,Placebo Ophthalmic Solution,ext:placebo,11
Dextrose 5% in water,Dextrose 5% in water,ext:dextrose,11
Placebo single dose,Placebo single dose,ext:placebo,11
Oxygen gas,Oxygen gas,ext:oxygen,11
Vehicle foam,Vehicle foam,ext:vehicle,11
"Normal Saline Flush, 0.9% Injectable Solution","Normal Saline Flush, 0.9% Injectable Solution",ext:saline,11
Inhaled placebo,Inhaled placebo,ext:placebo,11
Isotonic Saline,Isotonic Saline,ext:saline,11
placebo treatment,placebo treatment,ext:placebo,11
"NaCl 0,9%","NaCl 0,9%",ext:nacl,11
Sucrose,Sucrose,ext:sucrose,11
Placebo Group,Placebo Group,ext:placebo,11
Saline infusion,Saline infusion,ext:saline,11
0.9% sodium chloride solution,0.9% sodium chloride solution,canonical:Sodium Chloride,11
Saline Injection,Saline Injection,ext:saline,10
Placebo (for alirocumab),Placebo (for alirocumab),ext:placebo,10
Placebo - IV,Placebo - IV,ext:placebo,10
Placebo - SC,Placebo - SC,ext:placebo,10
Ringer's lactate,Ringer's lactate,ext:ringer,10
Placebo (Normal Saline),Placebo (Normal Saline),ext:placebo,10
Lactated Ringer's solution,Lactated Ringer's solution,ext:ringer,10
Placebo; oral,Placebo; oral,ext:placebo,10
placebo tablet,placebo tablet,ext:placebo,10
Saline (0.9% NaCl),Saline (0.9% NaCl),ext:saline,10
Placebo ointment,Placebo ointment,ext:placebo,10
Vehicle Lotion,Vehicle Lotion,ext:vehicle,10
Intranasal Placebo,Intranasal Placebo,ext:placebo,10
Intravenous placebo,Intravenous placebo,ext:placebo,10
oral placebo,oral placebo,ext:placebo,10
placebo for risankizumab,placebo for risankizumab,ext:placebo,9
