aact_name,pref_name,ik14,standard_inchi_key
Dexamethasone,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Ketamine,KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
Doxorubicin,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
doxorubicin hydrochloride,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
dexamethasone,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Leucovorin,LEUCOVORIN,VVIAGPKUTFNRDU,VVIAGPKUTFNRDU-ABLWVSNPSA-N
Sorafenib,SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
leucovorin calcium,LEUCOVORIN CALCIUM,KVUAALJSMIVURS,KVUAALJSMIVURS-ZEDZUCNESA-L
Ibuprofen,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
Ruxolitinib,RUXOLITINIB,HFNKQEVNSGCOJV,HFNKQEVNSGCOJV-OAHLLOKOSA-N
Enzalutamide,ENZALUTAMIDE,WXCXUHSOUPDCQV,WXCXUHSOUPDCQV-UHFFFAOYSA-N
Escitalopram,ESCITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-FQEVSTJZSA-N
Omeprazole,OMEPRAZOLE,SUBDBMMJDZJVOS,SUBDBMMJDZJVOS-UHFFFAOYSA-N
Epirubicin,EPIRUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-VTZDEGQISA-N
Propranolol,PROPRANOLOL,AQHHHDLHHXJYJD,AQHHHDLHHXJYJD-UHFFFAOYSA-N
Amlodipine,AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
Methylphenidate,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Doxorubicin Hydrochloride,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Methadone,METHADONE,USSIQXCVUWKGNF,USSIQXCVUWKGNF-UHFFFAOYSA-N
Levofloxacin,LEVOFLOXACIN ANHYDROUS,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-JTQLQIEISA-N
Esketamine,ESKETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-ZDUSSCGKSA-N
Lansoprazole,LANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-UHFFFAOYSA-N
Modafinil,MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
Citalopram,CITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-UHFFFAOYSA-N
Levobupivacaine,LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Leucovorin Calcium,LEUCOVORIN CALCIUM,KVUAALJSMIVURS,KVUAALJSMIVURS-ZEDZUCNESA-L
Pirfenidone,PIRFENIDONE,ISWRGOKTTBVCFA,ISWRGOKTTBVCFA-UHFFFAOYSA-N
Ketoconazole,LEVOKETOCONAZOLE,XMAYWYJOQHXEEK,XMAYWYJOQHXEEK-ZEQKJWHPSA-N
epirubicin hydrochloride,EPIRUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-VTZDEGQISA-N
doxorubicin,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Ketamine Hydrochloride,KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
ketamine,KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
Salbutamol,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Isotretinoin,ISOTRETINOIN,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-XFYACQKRSA-N
Atropine,ATROPINE,RKUNBYITZUJHSG,RKUNBYITZUJHSG-SPUOUPEWSA-N
escitalopram,ESCITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-FQEVSTJZSA-N
Ephedrine,RACEPHEDRINE,KWGRBVOPPLSCSI,KWGRBVOPPLSCSI-UHFFFAOYSA-N
Levothyroxine,LEVOTHYROXINE,XUIIKFGFIJCVMT,XUIIKFGFIJCVMT-LBPRGKRZSA-N
Mirtazapine,MIRTAZAPINE,RONZAEMNMFQXRA,RONZAEMNMFQXRA-UHFFFAOYSA-N
"Sorafenib (Nexavar, BAY43-9006)",SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Baclofen,BACLOFEN,KPYSYYIEGFHWSV,KPYSYYIEGFHWSV-UHFFFAOYSA-N
sorafenib,SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Pramipexole,PRAMIPEXOLE,FASDKYOPVNHBLU,FASDKYOPVNHBLU-ZETCQYMHSA-N
Adriamycin,DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
leucovorin,LEUCOVORIN,VVIAGPKUTFNRDU,VVIAGPKUTFNRDU-ABLWVSNPSA-N
Adenosine,ADENOSINE,OIRDTQYFTABQOQ,OIRDTQYFTABQOQ-KQYNXXCUSA-N
Ivacaftor,IVACAFTOR,PURKAOJPTOLRMP,PURKAOJPTOLRMP-UHFFFAOYSA-N
Albuterol,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Folinic Acid,LEUCOVORIN,VVIAGPKUTFNRDU,VVIAGPKUTFNRDU-ABLWVSNPSA-N
Capsaicin,CAPSAICIN,YKPUWZUDDOIDPM,YKPUWZUDDOIDPM-SOFGYWHQSA-N
ibuprofen,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
methylphenidate,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Formoterol,ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
Eszopiclone,ESZOPICLONE,GBBSUAFBMRNDJC,GBBSUAFBMRNDJC-INIZCTEOSA-N
propranolol,PROPRANOLOL,AQHHHDLHHXJYJD,AQHHHDLHHXJYJD-UHFFFAOYSA-N
Armodafinil,ARMODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-LJQANCHMSA-N
Emtricitabine,EMTRICITABINE,XQSPYNMVSIKCOC,XQSPYNMVSIKCOC-NTSWFWBYSA-N
ketoconazole,LEVOKETOCONAZOLE,XMAYWYJOQHXEEK,XMAYWYJOQHXEEK-ZEQKJWHPSA-N
