molregno,gene
1124,CA7
675068,CA1
674765,CA1
1085,CA1
1125,CA1
1124,CA1
378315,MT-CYB
674722,CHRM3
1102940,CHRM3
230999,CHRM3
674857,CHRM3
554127,CHRM3
1049461,CHRM3
674831,CHRM3
674430,CHRM3
594843,CHRM3
453573,CHRM3
1418097,CHRM3
445395,CHRM3
674555,CHRM3
674754,CHRM3
674886,CHRM3
562404,CHRM3
674715,CHRM3
1927030,CHRM3
675716,CHRM3
674424,CHRM3
195974,CHRM3
892,CHRM3
14406,CHRM3
674281,CHRM3
1449190,CHRM3
674901,CHRM3
1406675,CHRM3
778083,CHRM3
229058,CHRM3
170395,CHRM3
674842,CHRM3
674978,CHRM3
674298,CHRM3
1594639,CHRM3
2197385,TOP1
675418,VEGFA
675776,VEGFA
1121853,VEGFA
675483,VEGFA
2224030,GLP1R
390990,GLP1R
674777,IMPA1
1376008,IMPA1
675409,AVPR2
227437,AVPR2
675059,AVPR2
2832031,SSTR5
675135,SSTR5
500007,PTH1R
675370,PTH1R
293438,LIPF
21523,CYSLTR1
674632,CYSLTR1
675525,F2
2831999,F2
675435,F2
1038352,F2
188815,F2
1381057,PLAT
1380413,PLG
1380151,PLAT
675518,PLAU
675554,PLG
675431,PLAT
73547,PLG
127755,PLG
366278,CA2
675113,CA2
1085,CA2
1124,CA2
366279,CA2
1125,CA2
674765,CA2
2832031,SSTR2
675135,SSTR2
674954,HTR1F
674472,HTR1F
674596,TOP2A
674426,TOP2A
446279,TOP2A
462435,TOP2A
840903,TOP2A
624185,TOP2A
674927,TOP2A
674962,ACE
421317,ACE
674485,ACE
2197277,ACE
189203,ACE
1592407,ACE
544432,ACE
444750,ACE
674294,ACE
189204,ACE
674610,ACE
674782,ACE
400344,TRHR
8130,PTGER1
11305,HDAC1
293438,PNLIP
1285395,EPOR
675361,EPOR
675493,EPOR
485738,IMPDH1
675581,ERBB2
1328912,ERBB2
1121953,ERBB2
675130,ERBB2
675544,HRH1
2197756,HRH1
674442,HRH1
674448,HRH1
674569,HRH1
550917,HRH1
1926757,HRH1
674589,HRH1
674701,HRH1
674760,HRH1
674912,HRH1
674957,HRH1
1031157,HRH1
551224,HRH1
674483,HRH1
674878,HRH1
110803,HRH1
496910,HRH1
674746,HRH1
699453,HRH1
674918,HRH1
675019,HRH1
2197426,HRH1
2197391,HRH1
674925,HRH1
675698,HRH1
226880,HRH1
1677325,HRH1
674720,HRH1
1676284,HRH1
191342,HRH1
468199,HRH1
490981,HRH1
674343,HRH1
674397,HRH1
674501,HRH1
675141,HRH1
675710,HRH1
447448,HRH1
479129,HRH1
1537769,HRH1
674357,HRH1
1376009,HRH1
674910,HRH1
675040,HRH1
674974,HRH1
674346,HRH1
524710,HRH1
674899,HRH1
675617,TNF
675782,TNF
675482,TNF
675371,TNF
675784,TNF
44920,PDE5A
283529,PDE5A
564291,PDE5A
1285392,PDE5A
11305,HDAC3
1536859,DRD2
2197349,DRD2
674902,DRD2
16505,DRD2
674658,DRD2
37266,DRD2
872071,DRD2
675038,DRD2
738635,DRD2
674805,DRD2
1537268,DRD2
80209,DRD2
675053,DRD2
1926823,DRD2
155006,DRD2
1379630,DRD2
13949,DRD2
675003,DRD2
674891,DRD2
674370,DRD2
468656,DRD2
209829,DRD2
2197695,DRD2
16584,DRD2
674899,DRD2
2464679,CALCR
2197638,CALCR
1376065,AGTR1
109797,AGTR1
421066,AGTR1
139045,AGTR1
674621,AGTR1
674643,AGTR1
116349,AGTR1
674938,AGTR1
116949,AGTR1
674794,HTR2B
674889,HTR2B
675485,IGHE
421089,TPO
421208,TPO
675524,CD33
674699,DDC
675684,CSF1R
450864,CSF1R
675476,ADRA1A
33307,ADRA1A
674995,ADRA1A
674646,ADRA1A
675778,EGFR
675579,EGFR
611647,EGFR
88232,EGFR
675130,EGFR
112655,DRD3
80209,DRD3
84644,RYR1
4941,inhA
374005,inhA
675530,LHCGR
675508,LHCGR
675623,LHCGR
675639,LHCGR
1376005,GNRHR
674622,GNRHR
674462,GNRHR
237298,GNRHR
1341219,GNRHR
674452,GNRHR
674460,GNRHR
674467,GNRHR
674505,GNRHR
2832028,GNRHR
674726,GNRHR
33679,SRD5A2
9217,ALOX5
674711,ALOX5
986494,ALOX5
33202,ALOX5
674964,ALOX5
1223,ALOX5
674857,CHRM1
674298,CHRM1
1449190,CHRM1
674831,CHRM1
230999,CHRM1
554127,CHRM1
453573,CHRM1
150389,CHRM1
674779,CHRM1
674986,CHRM1
1049461,CHRM1
675018,CHRM1
674430,CHRM1
674722,CHRM1
1418097,CHRM1
583519,CHRM1
445395,CHRM1
426067,CHRM1
579689,CHRM1
674377,CHRM1
674921,CHRM1
674901,CHRM1
778083,CHRM1
674334,CHRM1
674978,CHRM1
674842,CHRM1
675691,ABL1
361469,ABL1
62111,ABL1
1277553,ABL1
485100,ABL1
675783,MPL
2197562,MPL
11305,HDAC6
1279,ADRB1
674788,ADRB1
674764,ADRB1
675066,ADRB1
674696,ADRB1
896873,ADRB1
675128,ADRB1
8543,ADRB1
674898,ADRB1
674369,ADRB1
444077,ADRB1
461225,ADRB1
505776,ADRB1
1538559,ADRB1
546564,ADRB1
2197437,ADRB1
543228,ADRB1
674821,ADRB1
1533286,ADRB1
1355926,ADRB1
675682,ADRB1
675014,ADRB1
8531,ADRB1
675464,SIGMAR1
2197380,SIGMAR1
2197381,SIGMAR1
705811,SIGMAR1
127755,PLAT
139281,SLC12A1
2654,SLC12A1
180329,SLC12A1
2046,SLC12A1
674438,SLC12A1
619,SLC12A3
73548,SLC12A3
92458,SLC12A3
674990,SLC12A3
62615,SLC12A3
674567,SLC12A3
428791,SLC12A3
453564,SLC12A3
2045,SLC12A3
515239,SLC12A3
583522,SLC12A3
134100,SLC12A3
134333,SLC12A3
453832,SLC12A3
1629652,embA
674727,CASR
8130,PTGER2
364859,KCNJ11
675409,AVPR1A
675059,AVPR1A
1510461,HTR1B
196215,HTR1B
674954,HTR1B
1410635,HTR1B
674472,HTR1B
674552,HTR1B
674983,HTR1B
27111,HTR1B
675101,HTR1B
1543375,HTR3A
3183,HTR3A
699431,HTR3A
54547,HTR3A
551486,HTR3A
1675783,HTR3A
674836,HTR3A
674891,HTR3A
674706,CCKAR
675133,FKBP1A
923,FKBP1A
1248731,FKBP1A
674637,FKBP1A
2197758,FKBP1A
1277553,RAF1
674436,RAF1
453578,ADA
1377883,ALDH5A1
1991,ALDH5A1
15217,ALDH5A1
161281,SLC6A4
3283141,SLC6A4
674273,SLC6A4
674661,SLC6A4
674732,SLC6A4
345595,SLC6A4
549372,SLC6A4
674560,SLC6A4
675033,SLC6A4
674546,SLC6A4
1038357,SLC6A4
674749,SLC6A4
675017,SLC6A4
674915,SLC6A4
155045,SLC6A4
675679,SLC6A4
674279,SLC6A4
543658,SLC6A4
2197716,SLC6A4
2335035,SLC6A4
674443,SLC6A4
675107,SLC6A4
674283,SLC6A4
361469,PDGFRB
674436,PDGFRB
485100,PDGFRB
2832031,SSTR1
675409,AVPR1B
550857,PPARG
62701,PPARG
666,PPARG
674711,PPARG
33202,PPARG
674964,PPARG
675369,SCTR
675494,SCTR
3283085,SCTR
675696,PPARA
2994,PPARA
28331,PPARA
16415,PPARA
100310,PPARA
2882636,TXNRD1
674428,XDH
647206,XDH
395607,XDH
394229,VKORC1
33727,VKORC1
394231,VKORC1
674723,VKORC1
674830,VKORC1
94571,ALDH2
361469,KIT
675684,KIT
1277553,KIT
674436,KIT
450864,KIT
485100,KIT
437583,CCR5
78303,HRH2
675002,HRH2
674900,HRH2
1672366,HRH2
1382812,HRH2
1620,HRH2
1383722,HRH2
674939,HRH2
524710,HRH2
377715,DPP4
675125,DPP4
399873,DPP4
675694,DPP4
674350,HTR1A
1510461,HTR1A
674889,HTR1A
155006,HTR1A
1038357,HTR1A
72873,PPIA
675528,SERPINC1
675454,SERPINC1
675574,SERPINC1
675608,SERPINC1
675515,SERPINC1
675473,SERPINC1
675462,SERPINC1
674595,SERPINC1
82983,TYMS
1537653,TYMS
598447,TYMS
368538,TYMS
675627,IGF1R
675637,IGF1R
675577,IL1R1
675607,TSHR
675540,TSHR
675393,MC2R
675376,MC2R
1376054,MC2R
675424,MC2R
93895,DHODH
96107,DHODH
674813,TH
5638,KCNH2
1532645,KCNH2
630439,KCNH2
546564,KCNH2
675464,GRIN2A
705811,GRIN2A
