Drug_Clean,chembl_pref_name,chembl_smiles,chembl_id,match_type
Aticaprant,ATICAPRANT,Cc1cc(C)cc([C@@H]2CCCN2Cc2ccc(Oc3ccc(C(N)=O)cc3F)cc2)c1,CHEMBL1921847,exact
clofazimine,CLOFAZIMINE,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,CHEMBL1292,exact
Bemcentinib,BEMCENTINIB,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,CHEMBL3809489,exact
cyclophosphamide,CYCLOPHOSPHAMIDE,O.O=P1(N(CCCl)CCCl)NCCCO1,CHEMBL1200796,exact
M5049,ENPATORAN,N#Cc1ccc(N2C[C@H](N)C[C@H](C(F)(F)F)C2)c2cccnc12,CHEMBL4802159,exact
pemetrexed,PEMETREXED,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,CHEMBL225072,exact
SLC-391,SLC-391,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nnc(CC2CC2)o1,CHEMBL5095196,exact
azacitidine,AZACITIDINE,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,CHEMBL1489,exact
celecoxib,CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL118,exact
D-Cycloserine,CYCLOSERINE,N[C@@H]1CONC1=O,CHEMBL771,exact
decitabine,DECITABINE,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,CHEMBL1201129,exact
dexamethasone,DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL384467,exact
Epalrestat,EPALRESTAT,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,CHEMBL56337,exact
Etavopivat,ETAVOPIVAT,O=C([C@H](CO)c1ccccc1)N1CC2=C(C1)CN(S(=O)(=O)c1cnc3c(c1)OCCO3)C2,CHEMBL4650332,exact
Fisetin,FISETIN,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,CHEMBL31574,exact
Intravenous of Fomepizole (4-MP),FOMEPIZOLE,Cc1cn[nH]c1,CHEMBL1308,paren_inner
ketoprofen,KETOPROFEN,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,CHEMBL571,exact
L-citrulline,L-CITRULLINE,NC(=O)NCCC[C@H](N)C(=O)O,CHEMBL444814,exact
letermovir,LETERMOVIR,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,CHEMBL1241951,exact
Magnesium sulfate,MAGNESIUM SULFATE,O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Mg+2],CHEMBL3989857,exact
niraparib,NIRAPARIB,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,CHEMBL1094636,exact
paclitaxel,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,CHEMBL428647,exact
