ik,level5,level1_description,level2_description,level3_description,IK14
VOVZXURTCKPRDQ-CQSZACIVSA-N,L01EA06,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,VOVZXURTCKPRDQ
JGWRKYUXBBNENE-UHFFFAOYSA-N,L01EX15,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,JGWRKYUXBBNENE
STUWGJZDJHPWGZ-LBPRGKRZSA-N,L01EM03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,STUWGJZDJHPWGZ
HUNGUWOZPQBXGX-UHFFFAOYSA-N,D06BX03,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,CHEMOTHERAPEUTICS FOR TOPICAL USE,HUNGUWOZPQBXGX
GYQYAJJFPNQOOW-UHFFFAOYSA-N,L01EX13,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,GYQYAJJFPNQOOW
PPSNFPASKFYPMN-SECBINFHSA-N,G02CX06,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS,PPSNFPASKFYPMN
LOUPRKONTZGTKE-WZBLMQSHSA-N,M09AA72,MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,LOUPRKONTZGTKE
GJJFMKBJSRMPLA-DZGCQCFKSA-N,N06AX28,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,GJJFMKBJSRMPLA
LBHLFPGPEGDCJG-UHFFFAOYSA-N,P01BA07,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,LBHLFPGPEGDCJG
DOUYETYNHWVLEO-UHFFFAOYSA-N,D06BB10,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,CHEMOTHERAPEUTICS FOR TOPICAL USE,DOUYETYNHWVLEO
MNDBXUUTURYVHR-UHFFFAOYSA-N,R03DX07,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,MNDBXUUTURYVHR
GMVPRGQOIOIIMI-DWKJAMRDSA-N,G04BE01,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,GMVPRGQOIOIIMI
YMTINGFKWWXKFG-UHFFFAOYSA-N,C10AB05,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",YMTINGFKWWXKFG
PTOIAAWZLUQTIO-GXFFZTMASA-N,N05CH03,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,PTOIAAWZLUQTIO
XUFXOAAUWZOOIT-UGEKTDRHSA-N,A10BF01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",XUFXOAAUWZOOIT
METKIMKYRPQLGS-UHFFFAOYSA-N,C07AB03,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,METKIMKYRPQLGS
RZVAJINKPMORJF-UHFFFAOYSA-N,N02BE51,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,RZVAJINKPMORJF
VOVIALXJUBGFJZ-KWVAZRHASA-N,A07EA06,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,VOVIALXJUBGFJZ
RYMZZMVNJRMUDD-HGQWONQESA-N,C10AA01,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",RYMZZMVNJRMUDD
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,D01AE15,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,DOMXUEMWDBAQBQ
FEBLZLNTKCEFIT-VSXGLTOVSA-N,S01BA15,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,FEBLZLNTKCEFIT
KXNPVXPOPUZYGB-IOVMHBDKSA-N,B01AE03,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,KXNPVXPOPUZYGB
SGEGOXDYSFKCPT-UHFFFAOYSA-N,N06AX24,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,SGEGOXDYSFKCPT
GHASVSINZRGABV-UHFFFAOYSA-N,L01BC02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,GHASVSINZRGABV
DCCSDBARQIPTGU-HSZRJFAPSA-N,G04BD11,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,DCCSDBARQIPTGU
YMBXTVYHTMGZDW-UHFFFAOYSA-N,M01AE19,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",YMBXTVYHTMGZDW
YMBXTVYHTMGZDW-UHFFFAOYSA-N,M02AA31,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,YMBXTVYHTMGZDW
MYPYJXKWCTUITO-LYRMYLQWSA-N,S01AA28,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,MYPYJXKWCTUITO
JGMOKGBVKVMRFX-HQZYFCCVSA-N,G03DB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,JGMOKGBVKVMRFX
PBAPPPCECJKMCM-IBGZPJMESA-N,G04BD12,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,PBAPPPCECJKMCM
