IK14,is_cytotoxic,atc_l3,who_name
AGRCPNMCOXLKFO,1,L01A,streptozocin
AHHFEZNOXOZZQA,1,L01A,ranimustine
AOCCBINRVIKJHY,1,L01B,carmofur
AOJJSUZBOXZQNB,1,L01D,doxorubicin
BMQGVNUXMIRLCK,1,L01C,cabazitaxel
BPEGJWRSRHCHSN,1,L01A,temozolomide
COVZYZSDYWQREU,1,L01A,busulfan
DLGOEMSEDOSKAD,1,L01A,carmustine
FABUFPQFXZVHFB,1,L01D,ixabepilone
FBOZXECLQNJBKD,1,L01B,methotrexate
FBTUMDXHSRTGRV,1,L01D,zorubicin
FDKXTQMXEQVLRF,1,L01A,dacarbazine
FOCVUCIESVLUNU,1,L01A,thiotepa
FVLVBPDQNARYJU,1,L01A,semustine
GAGWJHPBXLXJQN,1,L01B,capecitabine
GBABOYUKABKIAF,1,L01C,vinorelbine
GHASVSINZRGABV,1,L01B,fluorouracil
GIUYCYHIANZCFB,1,L01B,fludarabine
GQYIWUVLTXOXAJ,1,L01A,lomustine
HAWPXGHAZFHHAD,1,L01A,chlormethine
HFVNWDWLWUCIHC,1,L01A,prednimustine
HHJUWIANJFBDHT,1,L01C,vindesine
HOMGKSMUEGBAAB,1,L01A,ifosfamide
IDPUKCWIGUEADI,1,L01A,uramustine
IVTVGDXNLFLDRM,1,L01B,raltitrexed
IXOXBSCIXZEQEQ,1,L01B,nelarabine
JCKYGMPEJWAADB,1,L01A,chlorambucil
JXLYSJRDGCGARV,1,L01C,vinblastine
KKZJGLLVHKMTCM,1,L01D,mitoxantrone
KMSKQZKKOZQFFG,1,L01D,pirarubicin
KUZYSQSABONDME,1,L01C,vintafolide
LNHWXBUNXOXMRL,1,L01C,belotecan
NJBFOOCLYDNZJN,1,L01A,pipobroman
NMDYYWFGPIMTKO,1,L01C,vinflunine
NMUSYJAQQFHJEW,1,L01B,azacitidine
NNJPGOLRFBJNIW,1,L01C,demecolcine
NRUKOCRGYNPUPR,1,L01C,teniposide
NWIBSHFKIJFRCO,1,L01D,mitomycin
ODKNJVUHOIMIIZ,1,L01B,floxuridine
OGSBUKJUDHAQEA,1,L01B,pralatrexate
OGWKCGZFUXNPDA,1,L01C,vincristine
PEZPMAYDXJQYRV,1,L01D,pixantrone
PKVRCIRHQMSYJX,1,L01C,trabectedin
PTOAARAWEBMLNO,1,L01B,cladribine
PWOQRKCAHTVFLB,1,L01A,cyclophosphamide
PXSOHRWMIRDKMP,1,L01A,triaziquone
RCINICONZNJXQF,1,L01C,paclitaxel
RJURFGZVJUQBHK,1,L01D,dactinomycin
SDUQYLNIPVEERB,1,L01B,gemcitabine
SGDBTWWWUNNDEQ,1,L01A,melphalan
SHHKQEUPHAENFK,1,L01A,carboquone
STQGQHZAVUOBTE,1,L01D,daunorubicin
UCFGDBYHRUNTLO,1,L01C,topotecan
UHDGCWIWMRVCDJ,1,L01B,cytarabine
UMILHIMHKXVDGH,1,L01A,etoglucid
UMKFEPPTGMDVMI,1,L01A,trofosfamide
USZYSDMBJDPRIF,1,L01D,aclarubicin
UUVIQYKKKBJYJT,1,L01A,mannosulfan
UWKQSNNFCGGAFS,1,L01C,irinotecan
VFEDRRNHLBGPNN,1,L01A,nimustine
VFKZTMPDYBFSTM,1,L01A,mitobronitol
VJJPUSNTGOMMGY,1,L01C,etoposide
VJZITPJGSQKZMX,1,L01D,amrubicin
VSQQQLOSPVPRAZ,1,L01B,"trifluridine, combinations"
WBXPDJSOTKVWSJ,1,L01B,pemetrexed
WDDPHFBMKLOVOX,1,L01B,clofarabine
WFFQYWAAEWLHJC,1,L01B,mercaptopurine
WFWLQNSHRPWKFK,1,L01B,tegafur
WYWHKKSPHMUBEB,1,L01B,tioguanine
XAUDJQYHKZQPEU,1,L01B,decitabine
XCDIRYDKECHIPE,1,L01C,docetaxel
XDKMHMINQXATOR,1,L01D,plicamycin
XDXDZDZNSLXDNA,1,L01D,idarubicin
YAKWPXVTIGTRJH,1,L01A,fotemustine
YCPOZVAOBBQLRI,1,L01A,treosulfan
YQZNKYXGZSVEHI,1,L01A,melphalan flufenamide
YTKUWDBFDASYHO,1,L01A,bendamustine
ZOCKGBMQLCSHFP,1,L01D,valrubicin
