IK14,Disease,depmap_dep_lin,depmap_selectivity,depmap_has
ZHPMYDSXGRRERG,Major Depressive Disorder,0.0,0.0,0
ZHPMYDSXGRRERG,Depression,0.0,0.0,0
WDQPAMHFFCXSNU,"MAC Lung Disease; Treatment Refractory MAC Lung Disease; Mycobacterium Infections, Nontuberculous",0.0,0.0,0
KXMZDGSRSGHMMK,Lung Cancer,-0.026955244621110767,0.01761775009632559,1
BJXYHBKEQFQVES,Dermatomyositis; Polymyositis,0.0,0.0,0
JYVSYFGHYFXYBE,Advanced Lung Cancer,-0.29618274267990646,-0.04527923143571255,1
DYDCUQKUCUHJBH,Fibromyalgia,0.0,0.0,0
CHNUOJQWGUIOLD,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,0.0,0.0,0
KZFFYEPYCVDOGE,"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",0.0,0.0,0
XHEFDIBZLJXQHF,Covid19; SARS-CoV Infection,0.0,0.0,0
SOJDTNUCCXWTMG,limited cutaneous systemic sclerosis,0.0,0.0,0
RIKMMFOAQPJVMX,Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,-0.04018915115595966,-0.04215460807943274,1
RHGKLRLOHDJJDR,Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,0.0,0.0,0
FWYSMLBETOMXAG,HIV Infections; Cytomegalovirus; CMV,0.0,0.0,0
PCHKPVIQAHNQLW,Ovarian Cancer,0.0,0.20928503891988262,1
HCDMJFOHIXMBOV,Glioblastoma; Adult-type Diffuse Gliomas,-0.376347217393392,-0.19210863642738454,1
MQXWPWOCXGARRK,Amyotrophic Lateral Sclerosis,0.0,0.0,0
