NCT_ID,Drug_Clean,Disease,endpoint_readout,endpoint_organ,drug_organ,endpoint_mech_category,is_on_mech_surrogate,is_surrogate_pass
NCT06514742,Aticaprant,Major Depressive Disorder,SYMPTOM_SCALE,cns,unk,off_mech,0,0
NCT06418711,clofazimine,"MAC Lung Disease; Treatment Refractory MAC Lung Disease; Mycobacterium Infections, Nontuberculous",other,other,infection,ambiguous,0,0
NCT05469178,Bemcentinib,Lung Cancer,other,other,unk,ambiguous,0,0
NCT05650567,M5049,Dermatomyositis; Polymyositis,SYMPTOM_SCALE,other,unk,ambiguous,0,0
NCT05395494,D-Cycloserine,Fibromyalgia,SYMPTOM_SCALE,other,infection,ambiguous,0,0
NCT04925960,Epalrestat,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,other,renal,unk,off_mech,0,0
NCT05568225,Etavopivat,"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",CLINICAL_EVENT,hematologic,unk,clinical_off_or_other,0,0
NCT04537299,Fisetin,Covid19; SARS-CoV Infection,CLINICAL_EVENT,infection,unk,clinical_off_or_other,0,0
NCT04781543,HZN-825 QD,limited cutaneous systemic sclerosis,ORGAN_FUNCTION,respiratory,unk,off_mech,0,0
NCT05517668,Intravenous of Fomepizole (4-MP),Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,SYMPTOM_SCALE,hepatic,various,off_mech,0,0
NCT05253209,L-citrulline,Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,BIOMARKER,respiratory,unk,off_mech,0,0
NCT04840199,letermovir,HIV Infections; Cytomegalovirus; CMV,other,other,infection,ambiguous,0,0
NCT06964165,niraparib,Ovarian Cancer,other,oncology,oncology,ambiguous,0,0
NCT05267106,pemigatinib,Glioblastoma; Adult-type Diffuse Gliomas,CLINICAL_EVENT,cns,oncology,clinical_off_or_other,0,0
NCT05254990,Reparixin,Infectious Pneumonia; Severe COVID-19,CLINICAL_EVENT,respiratory,unk,clinical_off_or_other,0,0
NCT05605093,Shionogi Protease Inhibitor (S-217622),Respiratory Infection,CLINICAL_EVENT,other,infection,clinical_off_or_other,0,0
NCT04641273,BAY1817080,Participants With Diabetic Neuropathic Pain,SYMPTOM_SCALE,cns,unk,off_mech,0,0
NCT04947579,CC-99677,"Spondylitis, Ankylosing",SYMPTOM_SCALE,cns,unk,off_mech,0,0
NCT04311502,clofazimine,HIV; Tuberculosis,other,other,infection,ambiguous,0,0
NCT04638517,danazol,Adults and Children With Pulmonary Fibrosis,other,other,endocrine,ambiguous,0,0
NCT05019521,danicopan,Geographic Atrophy,other,oncology,oncology,ambiguous,0,0
NCT04968184,KBP-5074,Chronic Kidney Diseases,other,other,unk,ambiguous,0,0
NCT04628481,DF2156A,Type 1 Diabetes,BIOMARKER,other,unk,ambiguous,0,0
NCT04858425,niclosamide,Covid19,other,other,infection,ambiguous,0,0
NCT04635059,pacritinib,Biochemical Relapse After Definitive Treatment for Prostate Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
