module_family,feature
1_tissue_interaction,brain_vital_bind_burden
1_tissue_interaction,heart_vital_bind_burden
1_tissue_interaction,kidney_vital_bind_burden
1_tissue_interaction,liver_vital_bind_burden
1_tissue_interaction,logdose
1_tissue_interaction,max_brain_interaction
1_tissue_interaction,max_daily_dose_mg
1_tissue_interaction,max_drug_scor
1_tissue_interaction,max_endocrine_interaction
1_tissue_interaction,max_female_tissues_interaction
1_tissue_interaction,max_gasrto_intestin_interaction
1_tissue_interaction,max_heart_interaction
1_tissue_interaction,max_hematopoietic_interaction
1_tissue_interaction,max_immune_interaction
1_tissue_interaction,max_kidney_interaction
1_tissue_interaction,max_liver_interaction
1_tissue_interaction,max_male_tissues_interaction
1_tissue_interaction,max_musculoskeletal_interaction
1_tissue_interaction,max_organ_vital_burden
1_tissue_interaction,max_others_interaction
1_tissue_interaction,max_respiratory_interaction
1_tissue_interaction,max_target_scor
1_tissue_interaction,mean_brain_interaction
1_tissue_interaction,mean_drug_scor
1_tissue_interaction,mean_endocrine_interaction
1_tissue_interaction,mean_female_tissues_interaction
1_tissue_interaction,mean_gasrto_intestin_interaction
1_tissue_interaction,mean_heart_interaction
1_tissue_interaction,mean_hematopoietic_interaction
1_tissue_interaction,mean_immune_interaction
1_tissue_interaction,mean_kidney_interaction
1_tissue_interaction,mean_liver_interaction
1_tissue_interaction,mean_male_tissues_interaction
1_tissue_interaction,mean_musculoskeletal_interaction
1_tissue_interaction,mean_others_interaction
1_tissue_interaction,mean_respiratory_interaction
1_tissue_interaction,mean_scor_with_hight_expression
1_tissue_interaction,mean_target_scor
1_tissue_interaction,min_brain_interaction
1_tissue_interaction,min_endocrine_interaction
1_tissue_interaction,min_female_tissues_interaction
1_tissue_interaction,min_gasrto_intestin_interaction
1_tissue_interaction,min_heart_interaction
1_tissue_interaction,min_hematopoietic_interaction
1_tissue_interaction,min_immune_interaction
1_tissue_interaction,min_kidney_interaction
1_tissue_interaction,min_liver_interaction
1_tissue_interaction,min_male_tissues_interaction
1_tissue_interaction,min_musculoskeletal_interaction
1_tissue_interaction,min_others_interaction
1_tissue_interaction,min_respiratory_interaction
1_tissue_interaction,n_enst_brain_above_target_interaction
1_tissue_interaction,n_enst_endocrine_above_target_interaction
1_tissue_interaction,n_enst_female_tissues_above_target_interaction
1_tissue_interaction,n_enst_gasrto_intestin_above_target_interaction
1_tissue_interaction,n_enst_heart_above_target_interaction
1_tissue_interaction,n_enst_hematopoietic_above_target_interaction
1_tissue_interaction,n_enst_immune_above_target_interaction
1_tissue_interaction,n_enst_kidney_above_target_interaction
1_tissue_interaction,n_enst_liver_above_target_interaction
1_tissue_interaction,n_enst_male_tissues_above_target_interaction
1_tissue_interaction,n_enst_musculoskeletal_above_target_interaction
1_tissue_interaction,n_enst_others_above_target_interaction
1_tissue_interaction,n_enst_respiratory_above_target_interaction
1_tissue_interaction,n_enst_with_hight_expression
1_tissue_interaction,n_interactions_above_target_interaction
1_tissue_interaction,n_metabolites
1_tissue_interaction,n_organs_at_risk
1_tissue_interaction,n_significant_int
1_tissue_interaction,n_unique_proteins_above_target_interaction
1_tissue_interaction,organ_burden_spread
1_tissue_interaction,share_affected_brain
1_tissue_interaction,share_affected_endocrine
1_tissue_interaction,share_affected_female_tissues
1_tissue_interaction,share_affected_gasrto_intestin
1_tissue_interaction,share_affected_heart
1_tissue_interaction,share_affected_hematopoietic
1_tissue_interaction,share_affected_immune
1_tissue_interaction,share_affected_kidney
1_tissue_interaction,share_affected_liver
1_tissue_interaction,share_affected_male_tissues
1_tissue_interaction,share_affected_musculoskeletal
1_tissue_interaction,share_affected_others
1_tissue_interaction,share_affected_respiratory
1_tissue_interaction,weighted_score_brain
1_tissue_interaction,weighted_score_endocrine
1_tissue_interaction,weighted_score_female_tissues
1_tissue_interaction,weighted_score_gasrto_intestin
1_tissue_interaction,weighted_score_heart
1_tissue_interaction,weighted_score_hematopoietic
1_tissue_interaction,weighted_score_immune
1_tissue_interaction,weighted_score_kidney
1_tissue_interaction,weighted_score_liver
1_tissue_interaction,weighted_score_male_tissues
1_tissue_interaction,weighted_score_musculoskeletal
1_tissue_interaction,weighted_score_others
1_tissue_interaction,weighted_score_respiratory
2_network_pathway,net_enrichment_diversity
2_network_pathway,net_frac_disease_covered
2_network_pathway,net_frac_disease_in_ppi
2_network_pathway,net_frac_off_target_pathways
2_network_pathway,net_frac_pathways_with_disease
2_network_pathway,net_has_disease_pathway_overlap
2_network_pathway,net_max_enrichment_score
2_network_pathway,net_mean_pvalue
2_network_pathway,net_mech_apoptosis_frac
2_network_pathway,net_mech_apoptosis_n
2_network_pathway,net_mech_cell_cycle_frac
2_network_pathway,net_mech_cell_cycle_n
2_network_pathway,net_mech_dna_damage_frac
2_network_pathway,net_mech_dna_damage_n
2_network_pathway,net_mech_epigenetic_frac
2_network_pathway,net_mech_epigenetic_n
2_network_pathway,net_mech_immune_frac
2_network_pathway,net_mech_immune_n
2_network_pathway,net_min_pvalue
2_network_pathway,net_n_disease_genes_in_pathways
2_network_pathway,net_n_disease_in_ppi
2_network_pathway,net_n_enriched_total
2_network_pathway,net_n_off_target_pathways
2_network_pathway,net_n_pathways_with_disease
2_network_pathway,net_n_unique_ppi_proteins
2_network_pathway,net_network_density
2_network_pathway,net_spread_ratio
3_binding_specificity,binding_drug_bind_max
3_binding_specificity,binding_drug_bind_mean
3_binding_specificity,binding_drug_frac_bound
3_binding_specificity,binding_drug_n_bound
3_binding_specificity,binding_drug_n_bound_xdose
3_binding_specificity,binding_frac_above_50
3_binding_specificity,binding_n_above_50
3_binding_specificity,binding_n_above_70
3_binding_specificity,binding_n_above_80
3_binding_specificity,binding_n_above_80_xdose
3_binding_specificity,binding_n_above_90
3_binding_specificity,binding_n_total_transcripts
3_binding_specificity,binding_score_entropy
3_binding_specificity,binding_score_iqr
3_binding_specificity,binding_score_kurtosis
3_binding_specificity,binding_score_max
3_binding_specificity,binding_score_max_xdose
3_binding_specificity,binding_score_mean
3_binding_specificity,binding_score_median
3_binding_specificity,binding_score_p90
3_binding_specificity,binding_score_p95
3_binding_specificity,binding_score_p99
3_binding_specificity,binding_score_skew
3_binding_specificity,binding_score_std
3_binding_specificity,binding_top10_concentration
3_binding_specificity,binding_top50_concentration
3_binding_specificity,direct_target_max
3_binding_specificity,direct_target_mean
3_binding_specificity,direct_target_n_engaged_05
3_binding_specificity,direct_target_n_genes_matched
4_safety_pharmacology,dili_dose_x_logp
4_safety_pharmacology,dili_logp
4_safety_pharmacology,dili_rule_of_two
4_safety_pharmacology,essential_bind_burden
4_safety_pharmacology,essential_bind_max
4_safety_pharmacology,essential_bind_mean
4_safety_pharmacology,essential_frac_bound
4_safety_pharmacology,essential_n_bound
4_safety_pharmacology,tox_antitarget_burden
4_safety_pharmacology,tox_antitarget_burden_xdose
4_safety_pharmacology,tox_antitarget_max_bind
4_safety_pharmacology,tox_antitarget_mean_bind
4_safety_pharmacology,tox_antitarget_n_bound
4_safety_pharmacology,tox_cardiac_burden
4_safety_pharmacology,tox_cardiac_burden_xdose
4_safety_pharmacology,tox_cardiac_max_bind
4_safety_pharmacology,tox_cardiac_mean_bind
4_safety_pharmacology,tox_cardiac_n_bound
4_safety_pharmacology,tox_dermatologic_burden
4_safety_pharmacology,tox_dermatologic_max_bind
4_safety_pharmacology,tox_dermatologic_mean_bind
4_safety_pharmacology,tox_dermatologic_n_bound
4_safety_pharmacology,tox_dna_damage_burden
4_safety_pharmacology,tox_dna_damage_max_bind
4_safety_pharmacology,tox_dna_damage_n_bound
4_safety_pharmacology,tox_gi_burden
4_safety_pharmacology,tox_gi_max_bind
4_safety_pharmacology,tox_gi_mean_bind
4_safety_pharmacology,tox_gi_n_bound
4_safety_pharmacology,tox_hepatic_burden
4_safety_pharmacology,tox_hepatic_burden_xdose
4_safety_pharmacology,tox_hepatic_max_bind
4_safety_pharmacology,tox_hepatic_mean_bind
4_safety_pharmacology,tox_hepatic_n_bound
4_safety_pharmacology,tox_muscle_burden
4_safety_pharmacology,tox_muscle_max_bind
4_safety_pharmacology,tox_muscle_mean_bind
4_safety_pharmacology,tox_muscle_n_bound
4_safety_pharmacology,tox_renal_burden
4_safety_pharmacology,tox_renal_burden_xdose
4_safety_pharmacology,tox_renal_max_bind
4_safety_pharmacology,tox_renal_mean_bind
4_safety_pharmacology,tox_renal_n_bound
4_safety_pharmacology,tox_vs_overall_ratio
4_safety_pharmacology,tox_vs_overall_ratio_xdose
5_pharmacokinetics,drumap_clint
5_pharmacokinetics,drumap_cyp1a2
5_pharmacokinetics,drumap_cyp2c9
5_pharmacokinetics,drumap_cyp2d6
5_pharmacokinetics,drumap_cyp3a4
5_pharmacokinetics,drumap_fup
5_pharmacokinetics,drumap_fup_rat
5_pharmacokinetics,drumap_kpbrain
5_pharmacokinetics,drumap_papp_caco2
5_pharmacokinetics,drumap_vd
6_structured_mechanism,mech_clingen
6_structured_mechanism,mech_clingen_wd
6_structured_mechanism,mech_coverage_disease
6_structured_mechanism,mech_coverage_drug
6_structured_mechanism,mech_depmap_dep
6_structured_mechanism,mech_depmap_dep_wd
6_structured_mechanism,mech_depmap_sel
6_structured_mechanism,mech_depmap_sel_wd
6_structured_mechanism,mech_in_module
6_structured_mechanism,mech_in_module_wd
6_structured_mechanism,mech_kegg_frac
6_structured_mechanism,mech_kegg_frac_wd
6_structured_mechanism,mech_kegg_shared
6_structured_mechanism,mech_kegg_shared_wd
6_structured_mechanism,mech_mendel_clinvar
6_structured_mechanism,mech_mendel_clinvar_wd
6_structured_mechanism,mech_mendel_max
6_structured_mechanism,mech_mendel_max_wd
6_structured_mechanism,mech_mendel_ot_causal
6_structured_mechanism,mech_mendel_ot_causal_wd
6_structured_mechanism,mech_mi_genetics
6_structured_mechanism,mech_mi_genetics_wd
6_structured_mechanism,mech_mi_raw
6_structured_mechanism,mech_mi_raw_wd
6_structured_mechanism,mech_mi_within_disease
6_structured_mechanism,mech_mi_within_disease_wd
6_structured_mechanism,mech_ot_animal
6_structured_mechanism,mech_ot_animal_wd
6_structured_mechanism,mech_ot_genetic_assoc
6_structured_mechanism,mech_ot_genetic_assoc_wd
6_structured_mechanism,mech_ot_genetic_lit
6_structured_mechanism,mech_ot_genetic_lit_wd
6_structured_mechanism,mech_ot_pathway
6_structured_mechanism,mech_ot_pathway_wd
6_structured_mechanism,mech_ot_rna
6_structured_mechanism,mech_ot_rna_wd
6_structured_mechanism,mech_ot_somatic
6_structured_mechanism,mech_ot_somatic_wd
6_structured_mechanism,mech_topo_downstream
6_structured_mechanism,mech_topo_downstream_wd
6_structured_mechanism,mech_topo_net
6_structured_mechanism,mech_topo_net_wd
6_structured_mechanism,mech_topo_outdeg
6_structured_mechanism,mech_topo_outdeg_wd
6_structured_mechanism,mech_topo_upstream
6_structured_mechanism,mech_topo_upstream_wd
7_disease_trial_context,disease_is_autoimmune
7_disease_trial_context,disease_is_cardiac
7_disease_trial_context,disease_is_cns
7_disease_trial_context,disease_is_infectious
7_disease_trial_context,disease_is_metastatic
7_disease_trial_context,disease_is_oncology
7_disease_trial_context,disease_is_severe
7_disease_trial_context,disease_is_transplant
7_disease_trial_context,disease_mortality_1y
7_disease_trial_context,disease_mortality_5y
7_disease_trial_context,is_combination
7_disease_trial_context,is_cytotoxic
7_disease_trial_context,target_interaction_found
7_disease_trial_context,trial_n_drugs
9_endpoint_population_design_leverage,design_active_comparator
9_endpoint_population_design_leverage,design_max_age
9_endpoint_population_design_leverage,design_n_arms
9_endpoint_population_design_leverage,design_n_elig_criteria
9_endpoint_population_design_leverage,design_n_masked
9_endpoint_population_design_leverage,design_n_primary
9_endpoint_population_design_leverage,design_n_secondary
9_endpoint_population_design_leverage,design_primary_weeks
9_endpoint_population_design_leverage,design_randomized
9_endpoint_population_design_leverage,design_single_group
9_endpoint_population_design_leverage,endpoint_cvevent_match
9_endpoint_population_design_leverage,endpoint_difficulty_tier
9_endpoint_population_design_leverage,endpoint_physiology_score
9_endpoint_population_design_leverage,population_leverage
9_endpoint_population_design_leverage,precedent_neg_class
