ik14,target_gene,action_type,mechanism_of_action
SNICXCGAKADSCV,CHRNB2,AGONIST,Neuronal acetylcholine receptor; alpha4/beta2 agonist
SNICXCGAKADSCV,CHRNA4,AGONIST,Neuronal acetylcholine receptor; alpha4/beta2 agonist
CGIGDMFJXJATDK,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
CGIGDMFJXJATDK,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
MYSWGUAQZAJSOK,gyrB,INHIBITOR,Bacterial DNA gyrase inhibitor
MYSWGUAQZAJSOK,gyrA,INHIBITOR,Bacterial DNA gyrase inhibitor
MYSWGUAQZAJSOK,parC,INHIBITOR,Topoisomerase IV inhibitor
MYSWGUAQZAJSOK,parE,INHIBITOR,Topoisomerase IV inhibitor
MOYKHGMNXAOIAT,GUCY1B1,ACTIVATOR,Soluble guanylate cyclase activator
MOYKHGMNXAOIAT,GUCY1B2,ACTIVATOR,Soluble guanylate cyclase activator
MOYKHGMNXAOIAT,GUCY1A2,ACTIVATOR,Soluble guanylate cyclase activator
MOYKHGMNXAOIAT,GUCY1A1,ACTIVATOR,Soluble guanylate cyclase activator
LKJPYSCBVHEWIU,AR,ANTAGONIST,Androgen Receptor antagonist
IEDVJHCEMCRBQM,folA,INHIBITOR,Bacterial dihydrofolate reductase inhibitor
NCEXYHBECQHGNR,ALOX5,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor
NCEXYHBECQHGNR,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
NCEXYHBECQHGNR,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
METKIMKYRPQLGS,ADRB1,ANTAGONIST,Beta-1 adrenergic receptor antagonist
JZUFKLXOESDKRF,SLC12A3,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor
ZZUFCTLCJUWOSV,SLC12A1,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor
SHGAZHPCJJPHSC,RARG,AGONIST,Retinoic acid receptor agonist
SHGAZHPCJJPHSC,RARB,AGONIST,Retinoic acid receptor agonist
SHGAZHPCJJPHSC,RARA,AGONIST,Retinoic acid receptor agonist
DGBIGWXXNGSACT,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
