IK14,Disease,topo_upstream,topo_downstream,topo_net,topo_outdeg,kegg_shared,kegg_frac,ot_genetic_association,ot_genetic_literature,ot_somatic_mutation,ot_affected_pathway,ot_animal_model,ot_rna_expression,clingen,in_module,coverage_disease,coverage_drug,direct_target_max,direct_target_mean,direct_target_n_engaged_05,direct_target_n_genes_matched
OZOGDCZJYVSUBR,Ulcerative Colitis,0.0,0.1,-0.1,0.5,1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.1658549,0.082728971,0.0,10
WPEWQEMJFLWMLV,Breast Cancer,0.6333333333333333,0.5666666666666667,0.06666666666666667,14.0,13,1.0,0.0,0.0,0.5972122684134183,0.0,0.0,0.0,5,0,1,1,0.42877072,0.11746633866,0.0,10
WPEWQEMJFLWMLV,Gastric Cancer,0.6,0.4666666666666667,0.13333333333333333,14.0,13,1.0,0.0,0.0,0.6490927786999079,0.0,0.0,0.0,5,1,1,1,0.5397651,0.18405931866,1.0,10
WPEWQEMJFLWMLV,Hepatocellular Carcinoma,0.8,0.6333333333333333,0.16666666666666666,14.0,13,1.0,0.18237923928348632,0.0,0.4559480982087158,0.0,0.0,0.0,5,1,1,1,0.6228061,0.276877557,2.0,10
WPEWQEMJFLWMLV,Ovarian Cancer,0.5333333333333333,0.5,0.03333333333333333,14.0,13,1.0,0.0,0.0,0.8326304121973805,0.0,0.0,0.0,5,0,1,1,0.24760655,0.09430729360000001,0.0,10
KJNNWYBAOPXVJY,COVID-19,0.0,0.36666666666666664,-0.36666666666666664,1.0,2,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.35190406,0.16760398510000002,0.0,10
BZZKEPGENYLQSC,psoriasis,0.3333333333333333,0.26666666666666666,0.06666666666666667,17.0,17,1.0,0.9208875026052057,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.9793623,0.11322984579999999,1.0,10
BZZKEPGENYLQSC,Systemic Lupus Erythematosus,0.3,0.3333333333333333,-0.03333333333333333,17.0,17,1.0,0.8696757427787593,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.13877308,0.046215189930000004,0.0,10
BZZKEPGENYLQSC,plaque psoriasis,0.3,0.3333333333333333,-0.03333333333333333,17.0,17,1.0,0.8591321708763696,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.9793623,0.10394065893,1.0,10
GXJABQQUPOEUTA,Multiple Myeloma,0.0,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.027294298277273005,0,1,1,1,0.28652638,0.11774461219999999,0.0,10
BSMCAPRUBJMWDF,Cancer,1.0,0.7,0.3,17.0,90,0.9782608695652174,0.5582805231246977,0.0,0.9740920971010244,0.9672292380155436,0.0,0.0,5,0,1,1,0.0,0.0,0.0,10
BSMCAPRUBJMWDF,Non-Small Cell Lung Cancer,0.8,0.7,0.1,17.0,89,0.967391304347826,0.5592963338026914,0.0,0.6893009908072479,0.0,0.0,0.0,5,0,1,1,0.0,0.0,0.0,10
VFLDPWHFBUODDF,Osteoarthritis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.56805855,0.2974813016,2.0,10
VFLDPWHFBUODDF,oral submucous fibrosis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.45606065,0.18998005229999998,0.0,10
AFLFKFHDSCQHOL,primary biliary cirrhosis,0.0,0.0,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,,,,0
AFLFKFHDSCQHOL,Primary Sclerosing Cholangitis,0.0,0.5,-0.5,9.0,10,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.3831767,0.12283815436999998,0.0,10
KZFFYEPYCVDOGE,Sickle Cell Disease,0.0,0.0,0.0,0.0,9,1.0,0.0,0.0,0.0,0.0,0.456115279178059,0.0,5,1,1,1,0.0,0.0,0.0,10
RHGKLRLOHDJJDR,Sickle Cell Disease,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.22294734,0.1145139996,0.0,10
AHJRHEGDXFFMBM,Metastatic Breast Cancer,0.7333333333333333,0.6666666666666666,0.06666666666666667,17.333333333333332,49,0.9607843137254902,0.40465890500366697,0.0,0.8699743018321302,0.43002592936960776,0.0,0.0,5,1,1,1,0.16966029,0.04621522354,0.0,10
AHJRHEGDXFFMBM,Advanced Breast Cancer,0.7333333333333333,0.6666666666666666,0.06666666666666667,17.333333333333332,49,0.9607843137254902,0.40465890500366697,0.0,0.8699743018321302,0.43002592936960776,0.0,0.0,5,1,1,1,0.16966029,0.04621522354,0.0,10
LCFFREMLXLZNHE,immune thrombocytopenia,0.36666666666666664,0.23333333333333334,0.13333333333333333,26.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,1,0.97300345,0.10787241880000001,1.0,10
LCFFREMLXLZNHE,Sickle Cell Disease,0.3333333333333333,0.2,0.13333333333333333,26.0,1,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,0.062188424,0.011580276740000001,0.0,10
