IK14,Disease,y,mech_fitness,ot_genetic_association_max,ot_genetic_association_mean,ot_genetic_literature_max,ot_genetic_literature_mean,ot_animal_model_max,ot_animal_model_mean,ot_affected_pathway_max,ot_affected_pathway_mean,ot_rna_expression_max,ot_rna_expression_mean,ot_somatic_mutation_max,ot_somatic_mutation_mean,ot_clinical_max,ot_clinical_mean,ot_literature_max,ot_literature_mean,ot_best_overall,ot_n_targets_matched,has_ot,mech_resid,ot_resid
ZHPMYDSXGRRERG,Major Depressive Disorder,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9247621607204771,0.9247621607204771,0.28462131764746595,0.28462131764746595,0.9247621607204771,1,1,-18.139534883720927,-0.07006572859236415
WDQPAMHFFCXSNU,"MAC Lung Disease; Treatment Refractory MAC Lung Disease; Mycobacterium Infections, Nontuberculous",1,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
KXMZDGSRSGHMMK,Lung Cancer,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-24.451612903225808,-0.9391345940209889
BJXYHBKEQFQVES,Dermatomyositis; Polymyositis,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12158615952232422,0.12158615952232422,0.12661442131102899,0.06330721065551449,0.12661442131102899,2,1,0.0,0.0
DYDCUQKUCUHJBH,Fibromyalgia,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-18.75,-0.7425241906594575
CHNUOJQWGUIOLD,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
KZFFYEPYCVDOGE,"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
XHEFDIBZLJXQHF,Covid19; SARS-CoV Infection,1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SOJDTNUCCXWTMG,limited cutaneous systemic sclerosis,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RIKMMFOAQPJVMX,Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RHGKLRLOHDJJDR,Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
FWYSMLBETOMXAG,HIV Infections; Cytomegalovirus; CMV,1,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PCHKPVIQAHNQLW,Ovarian Cancer,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764449920295507,0.9764449920295507,0.9378797457313377,0.5380781053454393,0.9764449920295507,2,1,1.0,0.10568854888560952
HCDMJFOHIXMBOV,Glioblastoma; Adult-type Diffuse Gliomas,1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986646465450876,0.6986646465450876,0.6986646465450876,1,1,0.0,0.0
KQDRVXQXKZXMHP,Infectious Pneumonia; Severe COVID-19,1,47.0,0.0,0.0,0.0,0.0,0.25964724365992337,0.12982362182996168,0.0,0.0,0.0,0.0,0.0,0.0,0.5251846612700393,0.5251846612700393,0.22435565857574086,0.2024177872686626,0.5251846612700393,2,1,0.0,0.0
QMPBBNUOBOFBFS,Respiratory Infection,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
GTQPEQGDLVSFJO,Participants With Diabetic Neuropathic Pain,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PYOQIOLRFIRRSO,"Spondylitis, Ankylosing",1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
WDQPAMHFFCXSNU,HIV; Tuberculosis,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-9.0,0.0
POZRVZJJTULAOH,Adults and Children With Pulmonary Fibrosis,1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PIBARDGJJAGJAJ,Geographic Atrophy,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
UXHQLGLGLZKHTC,Chronic Kidney Diseases,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.5,-0.06079307976116211
