smiles,inchikey,drug_name,chembl_id,drugbank_id,drug_targets_symbols,drug_targets_ensembl,drug_targets_enst,n_targets,n_ensembl_targets,n_enst_targets
COC[C@H]1Cn2cc(-c3nc(Nc4ccnn4C)ncc3C)nc2C(=O)N1Cc1ccc(F)c(F)c1,HVIGNZUDBVLTLU-MRXNPFEDSA-N,ATG,CHEMBL4482864,,,,,0,0,0
COC1=C(C)C(=O)C2=C(C1=O)[C@@H](COC(N)=O)[C@@]1(OC)[C@@H]3[C@H](CN21)N3C,FMMDHGNWABITNT-JZWICRQDSA-N,MMF,CHEMBL102817,,,,,0,0,0
O=C1N(c2ccnc(Cl)c2)CCN1c1cnccc1C1(O)CCC1,BVSXGACDVLRIRY-UHFFFAOYSA-N,33A,CHEMBL3677956,,,,,0,0,0
NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,Urea,CHEMBL985,,,,,0,0,0
O=C(Nc1ccc(-c2cc(C(F)(F)F)n[nH]2)cc1)c1c(O)[nH]c(=O)[nH]c1=O,WZEIQMGEKXNMSM-UHFFFAOYSA-N,IL-15,CHEMBL6042642,,,,,0,0,0
NC(N)=NCCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)[C@@H]1CCCN1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](CCCN=C(N)N)C(=O)O,COQNAUDJZKBTMO-OLKWYUCKSA-N,NPC-1C,CHEMBL2372276,,,,,0,0,0
O=C1CCc2cc(OC[C@H](O)CN3CCN(c4ccc(C(F)(F)F)cc4)CC3)ccc2N1,QJKYLYXHWSCZQT-LJQANCHMSA-N,NP-101,CHEMBL5095254,,,,,0,0,0
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC1=O,LNXDZKNDLBCPBR-UZPVMMMDSA-N,MDCO 2,CHEMBL499175,,,,,0,0,0
COc1cccc(/C=C/C(=O)c2cc(OC)cc(OC)c2)c1,GGWANFUUQQENGU-BQYQJAHWSA-N,MDCO 3,CHEMBL1835901,,,,,0,0,0
C[C@@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)C[C@H](C)N1C[C@@H](C)O,STJKLSZICWMZSS-HSALFYBXSA-N,MM-302,CHEMBL4114182,,,,,0,0,0
