NCT_ID,Drug_Clean,Disease,is_cytotoxic,disease_is_oncology,safety_cytotoxic_cap,cap_reason
NCT06514742,Aticaprant,Major Depressive Disorder,0,0,0,
NCT06635135,Aticaprant,Depression,0,0,0,
NCT06418711,clofazimine,"MAC Lung Disease; Treatment Refractory MAC Lung Disease; Mycobacterium Infections, Nontuberculous",0,0,0,
NCT05469178,Bemcentinib,Lung Cancer,0,1,0,
NCT05650567,M5049,Dermatomyositis; Polymyositis,0,0,0,
NCT05860296,SLC-391,Advanced Lung Cancer,0,1,0,
NCT05395494,D-Cycloserine,Fibromyalgia,0,0,0,
NCT04925960,Epalrestat,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,0,0,0,
NCT05568225,Etavopivat,"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",0,0,0,
NCT04537299,Fisetin,Covid19; SARS-CoV Infection,0,0,0,
NCT04781543,HZN-825 QD,limited cutaneous systemic sclerosis,0,0,0,
NCT05517668,Intravenous of Fomepizole (4-MP),Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,0,0,0,
NCT05253209,L-citrulline,Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,0,0,0,
NCT04840199,letermovir,HIV Infections; Cytomegalovirus; CMV,0,0,0,
NCT06964165,niraparib,Ovarian Cancer,0,1,0,
NCT05267106,pemigatinib,Glioblastoma; Adult-type Diffuse Gliomas,0,1,0,
NCT05442775,Reldesemtiv,Amyotrophic Lateral Sclerosis,0,0,0,
NCT05254990,Reparixin,Infectious Pneumonia; Severe COVID-19,0,0,0,
NCT05019742,SPH3127,Ulcerative Colitis,0,0,0,
NCT05605093,Shionogi Protease Inhibitor (S-217622),Respiratory Infection,0,0,0,
NCT04601467,AZD5718,Acute Coronary Syndrome,0,0,0,
NCT04641273,BAY1817080,Participants With Diabetic Neuropathic Pain,0,0,0,
NCT04826484,bupivacaine,Urologic Diseases; Hypospadias; Undescended Testes; Chordee; Hydrocele; Orchiectomy,0,0,0,
NCT04947579,CC-99677,"Spondylitis, Ankylosing",0,0,0,
NCT04311502,clofazimine,HIV; Tuberculosis,0,0,0,
