row_idx,NCT_ID,Drug,SMILES,tdc_dili,tdc_ames,tdc_carcinogen,tdc_skin_reaction
0,NCT06514742,Aticaprant,Cc1cc(C)cc([C@@H]2CCCN2Cc2ccc(Oc3ccc(C(N)=O)cc3F)cc2)c1,0.5207536553296555,0.36459997334316785,0.21246382452965093,0.33066741059814136
1,NCT06635135,Aticaprant,Cc1cc(C)cc([C@@H]2CCCN2Cc2ccc(Oc3ccc(C(N)=O)cc3F)cc2)c1,0.5207536553296553,0.36459997334316785,0.21246382452965093,0.33066741059814136
2,NCT06418711,Clofazimine Inhalation Suspension,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0.6038972208635079,0.43603859812793805,0.4166273885024162,0.48216288003089897
3,NCT05469178,Bemcentinib,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,0.5343503917211766,0.6301421542188744,0.1529992492324121,0.4490439745058033
4,NCT05650567,M5049 high dose,N#Cc1ccc(N2C[C@H](N)C[C@H](C(F)(F)F)C2)c2cccnc12,0.5860546584626938,0.572369711077798,0.18696123596507994,0.41352284402233846
5,NCT05860296,SLC-391,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nnc(CC2CC2)o1,0.6905160410937248,0.4958001153756715,0.1814370319771953,0.45391641674146227
6,NCT05395494,D-Cycloserine,N[C@@H]1CONC1=O,0.3871636702602878,0.599148210004542,0.2046116941114936,0.6464958614267499
7,NCT04925960,Epalrestat,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,0.6031937347486422,0.28787690953387035,0.3311494553829672,0.6177044203918681
8,NCT05568225,Etavopivat,O=C([C@H](CO)c1ccccc1)N1CC2=C(C1)CN(S(=O)(=O)c1cnc3c(c1)OCCO3)C2,0.6130019849666464,0.328123567964634,0.3060773589454852,0.31357572309825343
9,NCT04537299,Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,0.6446061064773344,0.371691526262116,0.25209078816533587,0.6024531232784641
10,NCT04781543,HZN-825 BID,COc1ccc(C(=O)NC2(C(=O)O)Cc3ccccc3C2)cc1OCCc1cccc(C)c1,0.5129160810016867,0.2886685811764321,0.21195763119827365,0.37701358283390785
11,NCT05517668,Intravenous infusion of Fomepizole (4-MP),Cc1cn[nH]c1,0.5592006626420208,0.3546196879134936,0.40387285284979924,0.6128194170644856
12,NCT05253209,L-citrulline,NC(=O)NCCC[C@H](N)C(=O)O,0.13455287307752206,0.3786412127331426,0.3975886512561374,0.5201405222441277
13,NCT04840199,Letermovir Oral Tablet,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,0.6249004599259372,0.40542058739342235,0.18415624439544956,0.2813092707227325
14,NCT06964165,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,0.7096460077425455,0.401712672903879,0.13900719950951557,0.32862994721187583
15,NCT05267106,Pemigatinib,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,0.6390059858578763,0.5809884432880849,0.18037988577624958,0.36849961179574375
16,NCT05442775,Reldesemtiv,NC(=O)c1ccn(-c2cnc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nc2)c1,0.6752382472934751,0.357628035252337,0.22406597536866651,0.3076592230782048
17,NCT05254990,Reparixin,CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,0.592864711610302,0.24245450609081917,0.5255618760874966,0.4212437288400124
18,NCT05019742,SPH3127,COC(=O)NCCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccc(C)nc21,0.6480128929066191,0.4993140471923456,0.2345008705767954,0.36934994196619575
19,NCT05605093,Shionogi Protease Inhibitor (S-217622),Cn1cnc(Cn2c(=O)[nH]/c(=N\c3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,0.7892623923459839,0.4929603389206349,0.3500599737078856,0.4491499371305259
20,NCT04601467,AZD5718,Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn4c3C(=O)NCC4)cc2)n[nH]1,0.7082879461457202,0.36022734145898433,0.2036495257201235,0.36971252792297027
21,NCT04641273,BAY1817080,Cc1cnc(-c2cc(O[C@@H]3CCOC3)cc(C(=O)N[C@H](C)c3cnc(C(F)(F)F)nc3)c2)s1,0.5982099638777617,0.5127258652864403,0.12930475859218868,0.3250267985087356
22,NCT04826484,Bupivacaine Hydrochloride,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0.2362829989012264,0.291374354756892,0.1870831042576291,0.452557097497821
23,NCT04947579,CC-99677,CCOCc1cnc(Cl)nc1Oc1ccc2c(ccc3sc4c(c32)NC[C@@H](C)NC4=O)n1,0.6329027513214617,0.5714449866728473,0.25133653666617617,0.36341959870056784
24,NCT04311502,Clofazimine 100 MG,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0.6038972208635079,0.43603859812793794,0.4166273885024162,0.48216288003089897
25,NCT04638517,Danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0.3165004288331725,0.11215343243452645,0.14789255671884446,0.7032317210762137
26,NCT05019521,Danicopan,CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,0.7010206332485757,0.481759286477098,0.26505707734394307,0.2965040792312019
27,NCT04141995,Digoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.279421036165883,0.37057084805162427,0.037977329451612016,0.4777639608441273
28,NCT04857840,Firibastat (QGC001) Period 1,N[C@@H](CCS(=O)(=O)O)CSSC[C@@H](N)CCS(=O)(=O)O,0.37752427008811745,0.32908662948714146,0.6158084601047213,0.5374882241992891
29,NCT04718675,KB-0742,CCC(CC)c1cc(N[C@H]2CC[C@H](N)C2)n2nccc2n1,0.5459824834810052,0.33248448225340527,0.24769930660929645,0.48284117125340537
30,NCT04968184,KBP-5074,N#Cc1ccc(N2N=C3c4ccc(C(=O)N5CCC(O)CC5)nc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,0.6057186911588133,0.37645942775819174,0.1263643222761216,0.40592632184449484
31,NCT04628481,Ladarixin,C[C@@H](C(=O)NS(C)(=O)=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,0.6117512852837926,0.2812220874928725,0.47987912326738147,0.3632190426094519
32,NCT04641975,Mirabegron,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,0.5147387850332806,0.354820332783214,0.3847165322449514,0.3872025531135899
33,NCT04858425,Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,0.7451457190880768,0.8049309402000763,0.44666814157223994,0.6673304072479458
34,NCT04635059,Pacritinib,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,0.539299635635767,0.41854969405998926,0.14950451420024222,0.46135468028779475
35,NCT04944784,Reldesemtiv,NC(=O)c1ccn(-c2cnc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nc2)c1,0.6752382472934751,0.35762803525233694,0.22406597536866651,0.3076592230782048
36,NCT04311502,Rifapentine,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.6785121915566605,0.5680229194701035,0.20707863475214305,0.3663325100020234
37,NCT04720664,SM-88,CC(N)(Cc1ccc(O)cc1)C(=O)O,0.19681821388474338,0.16242762002633315,0.4941318532592756,0.4388405370834155
38,NCT04705051,Venglustat GZ402671,CC(C)(NC(=O)O[C@@H]1CN2CCC1CC2)c1csc(-c2ccc(F)cc2)n1,0.6312951713334463,0.4105905797477612,0.17292390316512926,0.3120194987787002
39,NCT04551053,parsaclisib,CCOc1c([C@H](C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(F)c1[C@@H]1CNC(=O)C1,0.6706216148647178,0.5029657662596747,0.34200063854611196,0.4173898559209794
40,NCT04551066,parsaclisib,CCOc1c([C@H](C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(F)c1[C@@H]1CNC(=O)C1,0.6706216148647178,0.5029657662596747,0.34200063854611196,0.4173898559209794
41,NCT04393038,ABX464,FC(F)(F)Oc1ccc(Nc2ccc3cccc(Cl)c3n2)cc1,0.7166426993350391,0.4785094117237658,0.45573816098193465,0.510822070312962
42,NCT04529499,AVIGAN,NC(=O)c1nc(F)cnc1O,0.6871997657132347,0.3197597625358307,0.49395130330233933,0.4511651356739223
43,NCT04534283,Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0.6071709673924556,0.4862624638603839,0.3449383123562945,0.40102661331930933
44,NCT04313881,Azacitidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0.8607856761551407,0.4870315138462866,0.1627167958015928,0.43729388379322603
45,NCT04606563,Azilsartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,0.7921313111219652,0.4832777578056294,0.4268698020536197,0.31892139343956205
46,NCT04504734,Bucillamine,CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,0.2857416868580169,0.2290547589275912,0.3594473750398425,0.43780891216596635
47,NCT04606563,Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.7683603445557372,0.46732121865706383,0.4399231120623822,0.2768284418880135
48,NCT04606563,Eprosartan,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,0.7038724055883537,0.2909594796897394,0.4239452079707868,0.5166387349443756
49,NCT04173273,Etrasimod,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,0.4454313639122827,0.34000088074328233,0.14049432182777824,0.2534219754132058
50,NCT04578548,GLPG2737,COC1CCN(C2CCN(c3cc(C(=O)NS(=O)(=O)N(C)C)nc4c3c(C3CCC3)nn4-c3ccc(F)cc3)CC2)CC1,0.7132807481273027,0.508686445242365,0.28861850806640854,0.3298117049145605
51,NCT04344444,Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5592293950237037,0.6248937076355872,0.5484438981048442,0.4839228455075884
52,NCT04345692,Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5592293950237037,0.6248937076355872,0.5484438981048442,0.4839228455075884
53,NCT04435808,Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5592293950237037,0.6248937076355872,0.5484438981048442,0.4839228455075884
