row_idx,y,p,NCT_ID,Disease,Drug_Clean,Arm_Label,Phase,disease_is_oncology,is_combination,is_surrogate_pass,is_onc_cytotoxic_mono,efficacy_surgical_pass,surgical_reason,endpoint_physiology_score,is_offmech,effect_size_uncertainty,confidence_tier,p_adj
0,0,0.5127256805997169,NCT00532493,post-traumatic stress disorder,prazosin,Prazosin Group,Phase 3,0,0,0,0,0,,0.0,0,78.0,low_confidence,0.5127256805997169
1,0,0.0917104825093242,NCT00764478,bipolar disorder,Asenapine,Asenapine 10 mg BID,Phase 3,0,0,0,0,0,,0.0,0,75.0,low_confidence,0.0917104825093242
2,0,0.21125195904609778,NCT00770133,allergic conjunctivitis,Ketotifen,Ketotifen/naphazoline,Phase 3,0,1,0,0,0,,0.0,0,54.0,low_confidence,0.21125195904609778
4,0,0.6419190090070777,NCT00803023,fibromyalgia,Sodium Oxybate,1,Phase 3,0,0,0,0,0,,0.0,0,90.0,low_confidence,0.6419190090070777
6,1,0.4457939324321528,NCT00860977,HIV Infection; Herpes Simplex Type II; HIV Infections,valacyclovir,Valacyclovir,Phase 3,0,0,0,0,0,,0.0,0,18.0,reliable,0.4457939324321528
7,0,0.5119049582229109,NCT00922233,Contraception,levonorgestrel,Levonorgestrel,Phase 3,0,0,0,0,0,,0.0,0,,unscored,0.5119049582229109
8,0,0.02778957635105584,NCT00943618,Smoking Cessation,Bupropion,Group 1,Phase 3,0,1,0,0,0,,0.0,0,59.0,low_confidence,0.02778957635105584
9,1,0.06264237451896816,NCT00946998,Chronic Kidney Disease; Depression,Sertraline,Sertraline,Phase 3,0,0,0,0,0,,0.0,0,78.0,low_confidence,0.06264237451896816
10,1,0.15708181562942242,NCT00963872,Hematologic Cancer,cyclophosphamide; fludarabine phosphate; Umbilical cord blood unit with C3a fragment; Unmanipulated UCB Unit,Complement Fragment A - Larger Cell Dose,Phase 2,1,1,0,0,0,,,0,,unscored,0.15708181562942242
11,0,0.11229304695785258,NCT00971165,Hypertension; Cardiovascular Disease,Chlorthalidone; amiloride,Chlorthalidone plus amiloride,Phase 3,0,1,0,0,0,,0.0,0,18.0,reliable,0.11229304695785258
12,0,0.014039363052170887,NCT00971165,Hypertension; Cardiovascular Disease,losartan,losartan,Phase 3,0,0,0,0,0,,0.0,0,18.0,reliable,0.014039363052170887
13,0,0.17065266522184597,NCT00975221,"Hyperparathyroidism, Primary; Hypercalcemia",Cinacalcet,Cinacalcet,Phase 3,0,0,0,0,0,,0.0,0,29.0,reliable,0.17065266522184597
14,1,0.3354401348076933,NCT00979121,Sepsis; Acute Lung Injury,Rosuvastatin,Rosuvastatin,Phase 3,0,0,0,0,0,,,0,,unscored,0.3354401348076933
15,0,0.0033969182870606735,NCT01002573,Fever,ibuprofen,ibuprofen,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.0033969182870606735
16,0,0.008331632726469354,NCT01002573,Fever,acetaminophen,Acetaminophen,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.008331632726469354
17,0,0.23420201672269583,NCT01002742,Graft-versus-Host Disease; Immune System Disorders,Mycophenolate Mofetil,Mycophenolate Mofetil,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.23420201672269583
18,0,0.04025480894330478,NCT01006980,Metastatic Melanoma,Vemurafenib,Vemurafenib,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.04025480894330478
19,0,0.00776741814502372,NCT01006980,Metastatic Melanoma,Dacarbazine,Dacarbazine,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.00776741814502372
20,0,0.2209628887268961,NCT01013649,Pancreatic Cancer,Erlotinib Hydrochloride,"Arm II (gemcitabine hydrochloride, erlotinib hydrochloride)",Phase 3,1,1,0,0,0,,,0,22.0,reliable,0.2209628887268961
21,0,0.2840236505968772,NCT01013649,Pancreatic Cancer,Capecitabine,"Arm IV (chemotherapy, chemoradiotherapy) [Capecitabine]",Phase 3,1,1,0,0,0,,,0,22.0,reliable,0.2840236505968772
22,0,0.08611738515230136,NCT01013649,Pancreatic Cancer,Fluorouracil,"Arm IV (chemotherapy, chemoradiotherapy) [Fluorouracil]",Phase 3,1,1,0,0,0,,,0,22.0,reliable,0.08611738515230136
23,0,0.23420201672269583,NCT01014442,Lung Transplantation,mycophenolate mofetil,Mycophenolate Mofetil; Cystic Fibrosis,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.23420201672269583
25,0,0.004053941680843484,NCT01015456,Lupus Nephritis,cyclophosphamide,2,Phase 3,0,0,0,0,0,,,0,44.0,reliable,0.004053941680843484
26,0,0.2775476671736435,NCT01029262,Anemia,Lenalidomide,Arm #1 - Lenalidomide plus placebo,Phase 3,0,0,0,0,0,,0.0,0,29.0,reliable,0.2775476671736435
27,0,0.0021342757923046144,NCT01031680,Type 2 Diabetes Mellitus,Dapagliflozin,1,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.0021342757923046144
28,0,0.0831147865114203,NCT01034111,Type 2 Diabetes Mellitus,Sitagliptin,Sitagliptin,Phase 3,0,1,0,0,0,,0.0,0,25.0,reliable,0.0831147865114203
29,0,0.22766051757474098,NCT01034137,Rheumatoid Arthritis,methotrexate,Tocilizumab + Methotrexate,Phase 3,0,1,0,0,0,,0.0,0,52.0,low_confidence,0.22766051757474098
30,0,0.28091920998127123,NCT01034163,Hodgkin lymphoma,Panobinostat,Panobinostat (PAN),Phase 3,1,0,0,0,0,,0.0,0,18.0,reliable,0.28091920998127123
31,1,0.32465939969341717,NCT01035190,Bronchopulmonary Dysplasia,Budesonide,inhaled Budesonide,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.32465939969341717
32,1,0.16388711951117532,NCT01038739,Diverticulitis,Mesalazine,A,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.16388711951117532
33,0,0.0021342757923046144,NCT01042977,Type 2 Diabetes Mellitus,Dapagliflozin,1,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.0021342757923046144
34,0,0.06738167245185026,NCT01046110,Type 2 Diabetes,sitagliptin,DPP-IV inhibitor,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.06738167245185026
35,0,0.15732924500301104,NCT01048398,Labor pain,remifentanil,Remifentanil,Phase 3,0,0,0,0,0,,0.0,0,81.0,low_confidence,0.15732924500301104
36,0,0.07116109890872287,NCT01048398,Labor pain,paracetamol,Paracetamol,Phase 3,0,0,0,0,0,,0.0,0,81.0,low_confidence,0.07116109890872287
37,0,0.07973975911204607,NCT01051219,Nonalcoholic Steatohepatitis,Losartan,"Losartan, daily medication",Phase 3,0,0,0,0,0,,0.0,0,29.0,reliable,0.07973975911204607
38,1,0.45996698462986985,NCT01055067,Non-CNS Germ Cell Tumors (Seminomas and Nonseminomas),Tivantinib (ARQ 197),Tivantinib (ARQ 197),Phase 2,1,0,0,0,0,,0.0,0,15.0,reliable,0.45996698462986985
39,0,0.039625629527857656,NCT01058096,bipolar disorder,Cariprazine,Cariprazine,Phase 3,0,0,0,0,0,,0.0,0,75.0,low_confidence,0.039625629527857656
40,0,0.4167701867339491,NCT01058668,Bipolar I Disorder,Cariprazine,Cariprazine (3-6 mg/day),Phase 3,0,0,0,0,0,,0.0,0,78.0,low_confidence,0.4167701867339491
41,1,0.321640288031107,NCT01059136,myocardial infarction,Spironolactone,1:Spironolactone,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.321640288031107
42,0,0.4167701867339491,NCT01059539,Bipolar I Disorder,Cariprazine,Cariprazine 3-12 mg/day for 16 weeks,Phase 3,0,0,0,0,0,,0.0,0,78.0,low_confidence,0.4167701867339491
43,1,0.7971184949860534,NCT01059682,Cardiovascular Disease,Dalcetrapib,Dalcetrapib,Phase 3,0,0,0,0,0,,,0,44.0,reliable,0.7971184949860534
44,0,0.6313175175899841,NCT01060072,inflammation,Loteprednol etabonate,Loteprednol etabonate,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.6313175175899841
45,0,0.321640288031107,NCT01062763,diabetes mellitus,spironolactone,addition of spironolactone,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,19.0,reliable,0.15
46,0,0.009835947954066861,NCT01063764,Epilepsy; Partial Seizures,Levetiracetam,Levetiracetam,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.009835947954066861
47,0,0.351363908066458,NCT01064310,Metastatic Kidney Cancer,pazopanib; sunitinib,pazopanib followed by sunitinib,Phase 3,1,1,0,0,0,,0.0,0,15.0,reliable,0.351363908066458
48,0,0.29025455070661277,NCT01065649,gastroesophageal reflux disease,Nortriptyline,Nortriptyline,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.29025455070661277
49,1,0.03817971007899831,NCT01067144,Postoperative Pain,Gabapentin,Gabapentin,Phase 3,0,0,0,0,0,,0.0,0,81.0,low_confidence,0.03817971007899831
50,0,0.02294876178790749,NCT01068600,chronic obstructive pulmonary disease,Indacaterol,Indacaterol 75 µg,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,1.0,0,50.0,low_confidence,0.02294876178790749
52,0,0.4074034630771616,NCT01069939,Prevention,Esomeprazole,Esomeprazole 20mg,Phase 3,0,0,0,0,0,,0.0,0,15.0,reliable,0.4074034630771616
53,1,0.20462469029448993,NCT01072630,Major Depression,Armodafinil,Armodafinil 150 mg/day,Phase 3,0,0,0,0,0,,0.0,0,90.0,low_confidence,0.20462469029448993
55,0,0.20462469029448993,NCT01072929,Major Depression,Armodafinil,Armodafinil 150 mg/day,Phase 3,0,0,0,0,0,,0.0,0,90.0,low_confidence,0.20462469029448993
56,0,0.7196116312724965,NCT01074047,Acute Myeloid Leukemia,Azacitidine,Azacitidine,Phase 3,1,0,0,1,1,oncology_cytotoxic_monotherapy,0.0,0,24.0,reliable,0.15
59,0,0.3478329659718784,NCT01076010,Renal Cell Carcinoma,Tivozanib,First line tivozanib.,Phase 3,1,0,0,0,0,,0.0,0,,unscored,0.3478329659718784
60,0,0.04888748838099876,NCT01076075,Type 2 Diabetes Mellitus,Sitagliptin phosphate,Sitagliptin,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.04888748838099876
61,0,0.6851014312928012,NCT01076764,Acute Coronary Syndrome,Otamixaban,Otamixaban - 0.080 mg/kg bolus + 0.100 mg/kg/h infusion,Phase 3,0,0,0,0,0,,,0,22.0,reliable,0.6851014312928012
62,1,0.4568792759678272,NCT01077518,"Lymphoma, Follicular",Bendamustine infusions (Arm A,Ofatumumab and Bendamustine (Arm A),Phase 3,1,0,0,0,0,,,0,,unscored,0.4568792759678272
63,0,0.20469690666058987,NCT01077518,"Lymphoma, Follicular",Bendamustine infusion; Bendamustine infusion (Arm B),Bendamustine (Arm B),Phase 3,1,1,0,0,0,,,0,,unscored,0.20469690666058987
64,0,0.06710802882458355,NCT01078454,Light Chain Deposition Disease; Primary Systemic Amyloidosis,bortezomib,ARM B (B-Mel-Dex),Phase 3,0,1,0,0,0,,,0,,unscored,0.06710802882458355
65,0,0.13733493524324214,NCT01078675,Familial Hypercholesterolaemia,rosuvastatin calcium,1,Phase 3,0,0,0,0,0,,,0,,unscored,0.13733493524324214
66,0,0.5852913126390065,NCT01078714,autism spectrum disorder,bumetanide,Bumetanide,Phase 3,0,0,0,0,0,,0.0,0,62.0,low_confidence,0.5852913126390065
67,0,0.05277591230699676,NCT01079130,asthma,Indacaterol,Indacaterol 150 µg,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,1.0,0,50.0,low_confidence,0.05277591230699676
68,0,0.21543196095503378,NCT01079130,asthma,Salmeterol,Salmeterol,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,1.0,0,50.0,low_confidence,0.15
69,0,0.014187635105160887,NCT01080391,Multiple Myeloma,Carfilzomib,"Carfilzomib, Lenalidomide, and Dexamethasone (CRd)",Phase 3,1,1,0,0,0,,,0,24.0,reliable,0.014187635105160887
70,0,0.011583257631556067,NCT01081834,"Diabetes Mellitus, Type 2",Canagliflozin,Canagliflozin 100 mg,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,19.0,reliable,0.011583257631556067
71,0,0.022427141098288167,NCT01081834,"Diabetes Mellitus, Type 2",Sitagliptin,Placebo/Sitagliptin,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,19.0,reliable,0.022427141098288167
72,0,0.037858038192266665,NCT01082744,Pain,Sufentanil,Continuous paravertebral block with ropivacaine and sufentanil,Phase 3,0,1,0,0,0,,0.0,0,88.0,low_confidence,0.037858038192266665
74,0,0.003063108513458055,NCT01084005,Type 2 Diabetes,linagliptin,linagliptin,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.003063108513458055
75,0,0.178356878582763,NCT01086384,asthma,Fluticasone Furoate/GW642444,Fluticasone furoate/GW642444,Phase 3,0,0,0,0,0,,1.0,0,50.0,low_confidence,0.178356878582763
76,0,0.28322905404227827,NCT01086384,asthma,Fluticasone furoate,fluticasone furoate,Phase 3,0,0,0,0,0,,1.0,0,50.0,low_confidence,0.28322905404227827
77,0,0.0022310277203512,NCT01087502,diabetes Mellitus,Linagliptin,Linagliptin,Phase 3,0,0,0,0,0,,0.0,0,19.0,reliable,0.0022310277203512
78,0,0.0038767263428681393,NCT01087502,diabetes Mellitus,Glimepiride,Glimepiride,Phase 3,0,0,0,0,0,,0.0,0,19.0,reliable,0.0038767263428681393
79,0,0.3842334343244479,NCT01087658,Chemotherapy-Induced Peripheral Neuropathy,Glutamine,Glutamine and calcium magnesium,Phase 3,0,1,0,0,0,,0.0,0,,unscored,0.3842334343244479
80,0,0.24787877771782174,NCT01089127,Chronic Obstructive Pulmonary Disease,Indacaterol,Indacaterol 150 μg,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,1.0,0,50.0,low_confidence,0.15
81,0,0.15795916895949202,NCT01089127,Chronic Obstructive Pulmonary Disease,Salmeterol 50 μg,Salmeterol 50 μg,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,1.0,0,50.0,low_confidence,0.15
82,1,0.6767687205423019,NCT01089556,"Diabetic Neuropathy, Painful",Duloxetine,Duloxetine,Phase 3,0,0,0,0,0,,0.0,0,19.0,reliable,0.6767687205423019
83,1,0.8008629766754872,NCT01089556,"Diabetic Neuropathy, Painful",Pregabalin,Pregabalin,Phase 3,0,0,0,0,0,,0.0,0,19.0,reliable,0.8008629766754872
84,1,0.610649022616597,NCT01089556,"Diabetic Neuropathy, Painful",Duloxetine; Pregabalin,Duloxetine + Pregabalin,Phase 3,0,1,0,0,0,,0.0,0,19.0,reliable,0.610649022616597
