ik14,source_file,run,n_metabolites,n_parent_tx,n_union_tx,n_metab_only_tx,n_parent_tx_hi,n_union_tx_hi,n_metab_only_tx_hi,breadth_expansion_hi,parent_max,parent_mean,metab_max,metab_mean,n_parent_rows,n_metab_rows
APVQOOKHDZVJEX,APVQOOKHDZVJEX_LSBIWMFESA_N_patient_0_significant_interactions.tsv,R03,158,816,22124,21308,362,12372,12010,34.1767955801105,0.9762,0.7134,1.0,0.7399,819,515407
AYXYPKUFHZROOJ,AYXYPKUFHZROOJ_ZETCQYMHSA_N_drug_patient_0_significant_interactions.tsv,R02,316,5052,18555,13503,2167,11201,9034,5.1688970927549605,0.9696,0.6931,1.0,0.7139,5089,546041
AZEXWHKOMMASPA,AZEXWHKOMMASPA_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,309,77,31284,31207,52,20171,20119,387.90384615384613,0.9914,0.7716,1.0,0.7143,77,726515
BQJCRHHNABKAKU,BQJCRHHNABKAKU_KBQPJGBKSA_N_drug_patient_0_significant_interactions.tsv,R02,1263,38,19681,19643,29,12016,11987,414.3448275862069,0.9848,0.8782,1.0,0.7437,38,3435810
BSYNRYMUTXBXSQ,BSYNRYMUTXBXSQ_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,174,1755,20129,18374,140,11920,11780,85.14285714285714,0.8119,0.6502,1.0,0.7098,1780,436270
CDAISMWEOUEBRE,CDAISMWEOUEBRE_GPIVLXJGSA_N_drug_patient_0_significant_interactions.tsv,R02,4,154,3232,3078,1,1016,1015,1016.0,0.7184,0.6281,0.8775,0.678,154,3342
CMSMOCZEIVJLDB,CMSMOCZEIVJLDB_UHFFFAOYSA_N_patient_0_significant_interactions.tsv,R03,58,4627,14936,10309,2303,9219,6916,4.003039513677812,0.834,0.7051,1.0,0.7273,4672,160043
CUIHSIWYWATEQL,CUIHSIWYWATEQL_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,265,11179,28850,17671,7267,20998,13731,2.889500481629283,0.9942,0.7689,1.0,0.7517,11299,1672715
CWHUFRVAEUJCEF,CWHUFRVAEUJCEF_UHFFFAOYSA_N_patient_0_significant_interactions.tsv,R03,1391,1105,30766,29661,825,19070,18245,23.115151515151513,0.9908,0.7881,1.0,0.7595,1105,6208286
CXOXHMZGEKVPMT,CXOXHMZGEKVPMT_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,774,4098,31318,27220,1670,18917,17247,11.327544910179641,0.8846,0.6891,1.0,0.736,4150,4579975
CZGUSIXMZVURDU,CZGUSIXMZVURDU_JZXHSEFVSA_N_drug_patient_0_significant_interactions.tsv,R02,40,348,9289,8941,174,2861,2687,16.442528735632184,0.9683,0.7239,0.9713,0.6615,364,17328
DAPFMGRCDFSUSN,DAPFMGRCDFSUSN_UHFFFAOYSA_N_patient_0_significant_interactions.tsv,R03,597,133,28577,28444,1,15939,15938,15939.0,0.7189,0.6333,1.0,0.7318,133,2493899
DBABZHXKTCFAPX,DBABZHXKTCFAPX_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,196,229,13924,13695,125,8674,8549,69.392,0.8939,0.729,1.0,0.7406,231,727462
DDBREPKUVSBGFI,DDBREPKUVSBGFI_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,472,545,26618,26073,192,14737,14545,76.75520833333333,0.8346,0.6823,1.0,0.7305,558,1646442
DDHVILIIHBIMQU,DDHVILIIHBIMQU_YJGQQKNPSA_L_drug_patient_0_significant_interactions.tsv,R02,0,6192,6192,0,3555,3555,0,1.0,0.9284,0.7338,0.0,0.0,6245,0
DDOOFTLHJSMHLN,DDOOFTLHJSMHLN_ZQHRPCGSSA_N_drug_patient_0_significant_interactions.tsv,R02,445,6003,13717,7714,3451,9024,5573,2.614894233555491,0.8871,0.7336,1.0,0.7594,6056,2562430
DHSUYTOATWAVLW,DHSUYTOATWAVLW_WFVMDLQDSA_N_drug_patient_0_significant_interactions.tsv,R02,720,864,16379,15515,526,10654,10128,20.254752851711025,0.9353,0.7363,1.0,0.7467,866,1792278
DKYWVDODHFEZIM,DKYWVDODHFEZIM_UHFFFAOYSA_N_patient_0_significant_interactions.tsv,R03,2400,1227,28295,27068,85,17338,17253,203.9764705882353,0.8093,0.6373,1.0,0.7368,1246,11475934
DMKSVUSAATWOCU,DMKSVUSAATWOCU_HROMYWEYSA_N_drug_patient_0_significant_interactions.tsv,R02,0,459,459,0,138,138,0,1.0,0.7774,0.6759,0.0,0.0,460,0
DOMQFIFVDIAOOT,DOMQFIFVDIAOOT_ROUUACIJSA_N_patient_0_significant_interactions.tsv,R03,1597,191,9605,9414,91,5990,5899,65.82417582417582,0.9938,0.7117,1.0,0.7444,206,1354186
DPYMFVXJLLWWEU,DPYMFVXJLLWWEU_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,6,10,693,683,0,124,124,0.0,0.6086,0.6042,0.8188,0.6611,10,928
DTGLZDAWLRGWQN,DTGLZDAWLRGWQN_UHFFFAOYSA_N_patient_0_significant_interactions.tsv,R03,3776,5625,43749,38124,2797,26069,23272,9.320343224883803,0.9724,0.7067,1.0,0.758,5681,23194726
DUGOZIWVEXMGBE,DUGOZIWVEXMGBE_UHFFFAOYSA_N_drug_patient_0_significant_interactions.tsv,R02,554,185,23724,23539,67,13946,13879,208.1492537313433,0.8782,0.6859,1.0,0.7243,185,1719915
DYKFCLLONBREIL,DYKFCLLONBREIL_KVUCHLLUSA_N_patient_0_significant_interactions.tsv,R03,1884,0,30707,30707,0,21230,21230,0.0,0.0,0.0,1.0,0.7541,0,4533181
