NCT_ID,Drug_Clean,Disease,plausibility,primary_target,causal_chain,leak_check
NCT06514742,Aticaprant,Major Depressive Disorder,48.0,Kappa-opioid receptor (KOR) antagonist,"KOR antagonism -> disinhibits mesolimbic dopamine / reduces dynorphin-KOR dysphoria signaling -> modulates anhedonia/negative-affect circuitry implicated in MDD. KOR-dynorphin is a genuine but contributory node in depression pathophysiology, not the dominant driver; benefit on full MDD endpoints is plausible-but-modest, strongest in anhedonia subdomain.",clean
NCT06635135,Aticaprant,Depression,45.0,Kappa-opioid receptor (KOR) antagonist,"KOR antagonism -> blocks dynorphin/KOR-mediated dysphoria and anhedonia signaling -> antidepressant effect in depression. The dynorphin/KOR system is a mechanistically plausible driver of anhedonia/stress-induced dysphoria, a real depression dimension, but it is one modulatory node rather than the dominant monoaminergic driver; benefit on a full MDD endpoint is plausible-but-uncertain.",clean
NCT05469178,Bemcentinib,Lung Cancer,34.0,AXL receptor tyrosine kinase inhibitor,"AXL inhibition -> reduces EMT/immune-evasion/drug-resistance signaling in lung cancer. AXL is a resistance/progression modifier rather than a primary oncogenic driver in most NSCLC, so it sits on a peripheral/adjunctive node; single-agent benefit on registrational endpoints is limited.",clean
NCT05469178,carboplatin,Lung Cancer,76.0,DNA (platinum-DNA intrastrand crosslinks),"Carboplatin -> platinum-DNA crosslinks -> replication/transcription blockade -> tumor cell apoptosis. Lung cancer is a platinum-doublet-defined malignancy; DNA-damaging cytotoxicity directly on tumor proliferation, the validated backbone.",clean
NCT05650567,M5049,Dermatomyositis; Polymyositis,58.0,TLR7/TLR8 dual antagonist,TLR7/8 -> blocks endosomal nucleic-acid sensing that drives type-I-IFN production in plasmacytoid DCs -> dermatomyositis/polymyositis have a strong type-I interferon signature central to muscle/skin inflammation. TLR7/8->IFN is on the autoimmune driver pathway for IFN-high myositis; good mechanistic fit.,clean - TLR7/8->IFN vs interferon-driven myositis pathophysiology
NCT05469178,pemetrexed,Lung Cancer,78.0,"Thymidylate synthase (TS), plus DHFR and GARFT (multitargeted antifolate)",Inhibits TS/DHFR/GARFT -> blocks de novo thymidine/purine synthesis -> halts DNA replication in rapidly dividing tumor cells. NSCLC (esp. non-squamous adenocarcinoma) cells are proliferative and antifolate-sensitive; cytotoxic mechanism acts directly on the proliferative driver of the malignancy.,clean
NCT05860296,SLC-391,Advanced Lung Cancer,42.0,AXL receptor tyrosine kinase inhibitor,"AXL inhibition -> blocks GAS6-AXL signaling driving EMT, survival, immune evasion, and drug resistance. In advanced lung cancer AXL is a resistance/progression contributor rather than a primary oncogenic driver for most patients; benefit plausible in AXL-high subsets but not on a dominant causal driver broadly.",clean
NCT04878432,azacitidine,Myelodysplastic Syndrome (MDS),78.0,DNMT (hypomethylating agent),MDS: clonal hematopoiesis with epigenetic hypermethylation; azacitidine reverses methylation-driven differentiation block. On the validated epigenetic-driver pathway.,clean
NCT05079230,azacitidine,Acute Myeloid Leukemia,74.0,DNA methyltransferase (DNMT) — hypomethylating agent,"AML, particularly in MDS-related/elderly disease, involves aberrant DNA hypermethylation silencing tumor-suppressor/differentiation genes. Azacitidine incorporates into DNA, depletes DNMT, reverses hypermethylation, and restores differentiation/apoptosis. The mechanism engages a real epigenetic driver of myeloid malignancy, though it is a broad cytotoxic/epigenetic rather than a single oncogenic-driver target.",clean — hypomethylating mechanism on myeloid epigenetic dysregulation
NCT04856176,carboplatin,Advance Non-small Cell Lung Cancer,76.0,DNA (platinum-DNA intrastrand crosslinks),Carboplatin -> forms platinum-DNA adducts/crosslinks -> blocks replication and transcription -> apoptosis of proliferating tumor cells. Advanced NSCLC is a platinum-doublet-defined disease; DNA-crosslinking cytotoxicity directly attacks the proliferating malignant cells and is the validated chemotherapy backbone.,clean
NCT06964165,carboplatin,Ovarian Cancer,82.0,DNA (platinum-DNA intrastrand crosslinks),Carboplatin -> platinum-DNA crosslinks -> replication/transcription blockade -> apoptosis. Ovarian carcinoma is the archetypal platinum-sensitive tumor; carboplatin is the foundational standard-of-care backbone directly engaging the proliferating malignant cells. Mechanism squarely on the disease's chemo-responsive driver.,clean
NCT05062083,celecoxib,Multiple Sclerosis,22.0,COX-2 selective inhibitor,Multiple sclerosis: an autoimmune demyelinating disease driven by T-cell/B-cell-mediated CNS inflammation and neurodegeneration. COX-2/prostaglandin inhibition is a minor inflammatory node not central to the adaptive-immune demyelination cascade; does not engage the disease-modifying driver. Largely off-path.,clean
NCT05395494,D-Cycloserine,Fibromyalgia,30.0,NMDA receptor glycine-site partial agonist,"NMDA glycine-site modulation -> alters central glutamatergic/pain-processing and central sensitization. Fibromyalgia involves central sensitization and glutamatergic dysregulation, so NMDA-site modulation touches a plausible mechanistic node; but the link is weak and partial-agonism effects on fibromyalgia endpoints are speculative. Low-moderate fit.",clean
NCT04878432,decitabine,Myelodysplastic Syndrome (MDS),76.0,DNA methyltransferase (DNMT1),Same as id 613 — MDS. Hypomethylating reversal of aberrant methylation is central to MDS pathophysiology; on the causal epigenetic driver; hematologic-response endpoints reachable.,clean
NCT05070247,dexamethasone,"Pancreatic Cancer; Hepatocellular Cancer; Mesothelioma; Breast Cancer; Gastric Cancer; Esophageal Cancer; Nasopharyngeal Cancer; Kidney Cancer; Squamous Cell Cancer of Head and Neck (SCCHN); Non-small Cell Lung Cancer (NSCLC), Non-squamous",20.0,Glucocorticoid receptor (NR3C1) agonist,"GR agonism -> antiemetic/anti-inflammatory/anti-cachexia supportive care -> diverse solid tumors are driven by oncogenic proliferation not GR; dexamethasone is supportive (CINV, appetite, edema), not antineoplastic. Weak disease-causal fit.",clean
NCT04925960,Epalrestat,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,45.0,Aldose reductase inhibitor,"aldose-reductase inhibition -> reduces polyol-pathway flux/sorbitol -> in PMM2-CDG the core defect is deficient phosphomannomutase-2 causing impaired N-glycosylation; recent work shows aldose reductase inhibition can raise mannose-1-phosphate/substrate availability for glycosylation, a mechanistically rational link to the metabolic driver. Plausible mechanistic rationale touching the glycosylation-substrate node, though indirect.",clean
NCT05568225,Etavopivat,"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",30.0,Pyruvate kinase R (PKR) activator,"PKR activation -> increases ATP and lowers 2,3-DPG in red cells, improving RBC metabolic health/membrane stability -> in lower-risk MDS the core lesion is clonal ineffective hematopoiesis/dysplasia in the marrow progenitor, not a mature-RBC glycolytic defect; PKR activation addresses RBC metabolism, a peripheral node relative to the clonal/dysplastic driver of MDS anemia. Largely off the MDS clonal driver; touches downstream RBC quality.",clean
NCT04537299,Fisetin,Covid19; SARS-CoV Infection,12.0,"Senescent cells (senolytic flavonoid); broad antioxidant/anti-inflammatory polyphenol, PI3K/AKT/Bcl-2 modulation","Fisetin -> putative senolytic + antioxidant/anti-inflammatory -> COVID-19 driven by acute viral replication and hyperinflammation. No antiviral mechanism; senescence clearance is a peripheral, unvalidated node for acute viral pneumonia. Anti-inflammatory effect is generic and weak.",clean
NCT04781543,HZN-825 QD,limited cutaneous systemic sclerosis,52.0,LPAR1 (lysophosphatidic acid receptor 1) antagonist,"LPAR1 blockade -> interrupts LPA-driven fibroblast activation and myofibroblast differentiation -> systemic sclerosis skin fibrosis is driven by the LPA-LPAR1 fibrotic signaling axis. LPAR1 is an on-pathway, genetically/biologically supported fibrotic driver node. Reasonable mechanistic fit, though clinical translation in fibrosis is uncertain.",clean
NCT05517668,Intravenous of Fomepizole (4-MP),Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,68.0,Alcohol dehydrogenase / CYP2E1 inhibitor,Fomepizole -> inhibits CYP2E1-mediated formation of the toxic NAPQI metabolite -> acetaminophen hepatotoxicity is caused by NAPQI generation depleting glutathione. Blocking the bioactivation enzyme directly addresses the upstream causal mechanism of APAP liver injury. Strongly on-pathway mechanistically (adjunct to NAC).,clean
NCT05062083,ketoprofen,Multiple Sclerosis,14.0,COX-1/COX-2 inhibitor (NSAID),"COX inhibition reduces peripheral prostaglandin-mediated inflammation, but multiple sclerosis core pathophysiology is autoimmune CNS demyelination/T-cell driven; COX-prostaglandin is a peripheral/correlative node not the demyelination driver -> mechanism off the causal path for disease-modifying benefit",clean
