drug,n_pass,n_fail,pass_genetic_mean,fail_genetic_mean,delta,pass_inds,fail_inds,onco,min_target_n_approved
Metoprolol succinate,1,1,0.8932398545824125,0.0,0.8932398545824125,Hypertension=0.89,Chronic Obstructive Pulmonary Disease=0.00,0,44
Azilsartan,1,1,0.8051397966329676,0.0,0.8051397966329676,Hypertension=0.81,Covid19; SARS-CoV Infection=0.00,0,12
Regorafenib,1,1,0.7706853301176835,0.0,0.7706853301176835,Colorectal Cancer=0.77,Adenocarcinoma of the Stomach; Adenocarcinoma of the Gastroesophageal Junction=0.00,1,15
Fostamatinib,1,1,0.4411799219031005,0.0,0.4411799219031005,pneumonia=0.44,COVID-19; SARS-CoV2 Infection; Coronavirus Infection=0.00,0,2
Valsartan,2,1,0.4025698983164838,0.0,0.4025698983164838,Hypertension; Chronic Kidney Disease=0.00; essential hypertension=0.81,Covid19; SARS-CoV Infection=0.00,0,12
"Rivaroxaban (Xarelto, BAY59-7939)",2,1,0.29050776991894567,0.0,0.29050776991894567,Deep Vein Thrombosis=0.00; Pulmonary Embolism=0.58,Stroke=0.00,0,7
Apixaban,7,1,0.19498408455363364,0.0,0.19498408455363364,"Atrial Fibrillation=0.05; Cerebral Vein Thrombosis; Deep Vein Thrombosis; Gonadal Thrombosis; Hepatic Thrombosis; Malignant Neoplasm; Mesenteric Thrombosis; Metastatic Malignant Neoplasm; Portal Vein Thrombosis; Pulmonary Embolism; Renal Vein Thrombosis; Splenic Thrombosis; Venous Thromboembolism=0.46; Deep Vein Thrombosis; Pulmonary Embolism=0.00; Hematoma=0.00; Intracranial Hemorrhages; Intracranial Hemorrhage, Hypertensive; Subarachnoid Hemorrhage; Subdural Hematoma; Intraventricular Hemorrhage; Atrial Fibrillation; Atrial Flutter; Small Vessel Cerebrovascular Disease; Microhaemorrhage=0.00; Transient Ischemic Attack; Stroke; Atrial Fibrillation=0.00; Venous Thromboembolism=0.85",Stroke=0.00,1,7
Deucravacitinib,1,1,0.9208875026052056,0.750248955306377,0.17063854729882855,psoriasis=0.92,Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis=0.75,0,7
Tadalafil,5,1,0.15825716035555004,0.0,0.15825716035555004,"Benign Prostatic Hyperplasia=0.00; Benign Prostatic Hyperplasia; Enlarged Prostate=0.00; Cardiovascular Disease; Insulin Resistance; Glucose Intolerance; Obesity=0.79; Hypertension, Pulmonary=0.00; Lung Diseases, Interstitial=0.00","Muscular Dystrophy, Duchenne=0.00",0,7
Lenalidomide,6,1,0.156228593536128,0.0,0.156228593536128,Anemia=0.94; Follicular Lymphoma=0.00; MULTIPLE MYELOMA=0.00; Mantle Cell Lymphoma=0.00; Multiple Myeloma=0.00; Myelodysplastic Syndrome=0.00,Mantle Cell Lymphoma; Non-Hodgkin's Lymphoma=0.00,1,4
Rivaroxaban,15,1,0.12860045045622,0.0,0.12860045045622,"Aortic Valve Stenosis; Cardiovascular Diseases; Heart Valve Diseases; Ventricular Outflow Obstruction; Thrombosis=0.00; Arthritis; Osteoarthritis, Knee; Osteoarthritis, Hip; Thromboembolism=0.00; Atrial Fibrillation=0.05; Atrial Fibrillation; Intracerebral Hemorrhage=0.05; Atrial Fibrillation; Percutaneous Coronary Intervention=0.05; Cerebral Vein Thrombosis=0.46; Coronavirus; Severe Acute Respiratory Syndrome=0.00; Deep Venous Thrombosis=0.46; Heart Failure; Coronary Artery Disease=0.00; Hematoma=0.00; Intracranial Hemorrhages; Intracranial Hemorrhage, Hypertensive; Subarachnoid Hemorrhage; Subdural Hematoma; Intraventricular Hemorrhage; Atrial Fibrillation; Atrial Flutter; Small Vessel Cerebrovascular Disease; Microhaemorrhage=0.00; Patients With Antiphospholipid Syndrome=0.00; Superficial Vein Thrombosis=0.00; Thrombosis=0.00; Venous Thromboembolism=0.85",COVID-19=0.00,0,7
Apremilast,5,1,0.05698621463573124,0.0,0.05698621463573124,Behcet syndrome=0.00; COVID-19=0.00; palmoplantar pustulosis=0.00; plaque psoriasis=0.00; psoriasis=0.28,Patients With Rheumatoid Arthritis=0.00,0,14
Lumateperone,3,1,0.5052410795491437,0.4672231723876278,0.038017907161515874,Depression=0.00; Major Depressive Disorder=0.86; Schizophrenia=0.66,Alzheimer's Disease=0.47,0,73
Hydroxyurea,5,1,0.0239186780106828,0.0,0.0239186780106828,MDS=0.00; Polycythemia Vera=0.12; Sickle Cell Anemia=0.00; Sickle Cell Anemia; Sickle Cell Disease; Malaria=0.00; Sickle Cell Disease; Sickle Cell Anemia=0.00,Multiple Sclerosis=0.00,0,5
Telmisartan,2,1,0.0,0.0,0.0,Hypercholesterolemia; Hypertension=0.00; Hyperlipidemia; Hypertension=0.00,Covid19; SARS-CoV Infection=0.00,0,12
Ranolazine,6,1,0.0,0.0,0.0,"Angina; Pulmonary Arterial Hypertension=0.00; Coronary Artery Disease; Angina Pectoris=0.00; Diabetes, Type I; Diabetes, Type II; Angina; Coronary Artery Disease=0.00; Ischemic Cardiomyopathy; Nonischemic Cardiomyopathy; Heart Failure=0.00; Type 2 Diabetes=0.00; Type 2 Diabetes Mellitus=0.00",Angina=0.00,0,56
Ondansetron,7,1,0.0,0.0,0.0,Chemotherapy-Induced Nausea and Vomiting=0.00; Chemotherapy-induced Nausea and Vomiting=0.00; Gastroenteritis; Vomiting; Acute Gastroenteritis=0.00; Hypotension; Nausea; Vomiting=0.00; IBS - Irritable Bowel Syndrome=0.00; Post Operative Nausea and Vomiting; Sleeve Gastrectomy; Morbid Obesity=0.00; Postoperative Nausea and Vomiting=0.00,Obsessive-compulsive Disorder=0.00,0,13
Prucalopride,1,1,0.0,0.0,0.0,constipation=0.00,Constipation=0.00,0,8
Vistusertib,1,2,0.0,0.0,0.0,Advanced Gastric Adenocarcinoma=0.00,Cancer of Stomach=0.00; Stomach Neoplasms=0.00,1,1
Valbenazine,3,1,0.0,0.0,0.0,"Chorea, Huntington=0.00; Schizophrenia=0.00; Tardive Dyskinesia=0.00",Tourette Syndrome=0.00,0,13
Tolvaptan,6,1,0.0,0.0,0.0,"Ascites; Hepatic Cirrhosis=0.00; Autosomal Dominant Polycystic Kidney Disease (ADPKD)=0.00; Cardiac Edema=0.00; Cirrhosis; Hepatic Encephalopathy; Hyponatremia=0.00; Heart Failure; Dyspnea=0.00; Polycystic Kidney, Autosomal Dominant=0.00",Hyponatremia=0.00,0,8
Naltrexone,2,1,0.0,0.0,0.0,Alcohol Dependence=0.00; Alcohol Use Disorder=0.00,Post Traumatic Stress Disorder; Alcohol Abuse=0.00,0,53
Rucaparib,3,1,0.0,0.0,0.0,Ovarian Cancer=0.00; Primary Peritoneal Cancer=0.00; Prostate Cancer=0.00,Endometrial Cancer=0.00,1,7
Selexipag,2,1,0.0,0.0,0.0,"Hypertension, Pulmonary=0.00; Pulmonary Arterial Hypertension=0.00",Chronic Thromboembolic Pulmonary Hypertension=0.00,0,7
Siponimod,1,1,0.0,0.0,0.0,multiple sclerosis=0.00,Active Dermatomyositis=0.00,0,8
Amg-517,2,1,0.0,0.0,0.0,Adenocarcinoma of the Pancreas; Advanced Solid Tumors; Cancer; Cancer of Pancreas; Cancer of the Pancreas; Metastases; Metastatic Cancer; Metastatic Pancreatic Cancer; Pancreas Cancer; Pancreatic Cancer; Bone Metastases; Endocrine Cancer; Oncology; Oncology Patients; Solid Tumors; Advanced Malignancy=0.00; Ovarian Cancer=0.00,Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable=0.00,1,2
Irbesartan,1,1,0.0,0.0,0.0,"Ehlers-Danlos Syndrome, Vascular Type=0.00",Covid19; SARS-CoV Infection=0.00,0,12
Mirabegron,3,1,0.0,0.0,0.0,"Overactive Bladder; Urinary Incontinence=0.00; Urinary Bladder Overactive; Urinary Bladder Diseases\Urologic Diseases; Overactive Bladder; Urgency Incontinence=0.00; Urologic Diseases; Urinary Bladder, Overactive; Urinary Bladder Diseases=0.00",Overactive Bladder (OAB); Pharmacokinetics of Mirabegron=0.00,0,18
Haloperidol,2,1,0.0,0.0,0.0,Delirium=0.00; Delirium; Impaired Cognition; Long Term Psychologic Disorders=0.00,Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline=0.00,0,73
Armodafinil,1,1,0.0,0.0,0.0,Major Depression=0.00,Depression=0.00,0,26
Ataluren,3,2,0.0,0.0,0.0,"Duchenne Muscular Dystrophy; Becker Muscular Dystrophy; Dystrophinopathy=0.00; Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Disease; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn=0.00; Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Diseases; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn=0.00",Cystic Fibrosis=0.00; Duchenne Muscular Dystrophy; Becker Muscular Dystrophy=0.00,0,1
Carboplatin; Paclitaxel,1,1,0.0,0.0,0.0,Advanced Cervical Cancer=0.00,Ovarian Cancer=0.00,1,19
