NCT_ID,Disease,y,p,p_adj,efficacy_surgical_pass
NCT03591874,Graft Versus Host Disease; Ocular Surface Disease; oGVHD; Ocular Graft vs Host Disease; Brimonidine Tartrate; Lubricant Eye Drops; Ophthalmic Solutions; Graft vs Host Disease,1,0.6684340840299521,0.6684340840299521,0
NCT05656027,presbyopia,0,0.4567587842813746,0.4567587842813746,0
NCT02289352,rosacea,0,0.021764901385288145,0.021764901385288145,0
NCT03349333,unspecified peripheral T-cell lymphoma,0,0.24913837304481534,0.15,1
NCT01912391,Borderline personality disorder,0,0.548158059626628,0.548158059626628,0
NCT01556165,Parkinson's Disease,0,0.4168021979646347,0.4168021979646347,0
NCT03106454,contraception,0,0.008733695818796938,0.008733695818796938,0
NCT04638517,Adults and Children With Pulmonary Fibrosis,1,0.44357554011624617,0.44357554011624617,0
NCT03563664,Unexplained Infertility,0,0.000923403673910925,0.000923403673910925,0
NCT05385744,Multiple Sclerosis,0,0.07683553226432749,0.07683553226432749,0
NCT02361216,actinic keratosis,0,0.007120582042708552,0.007120582042708552,0
NCT04635059,Biochemical Relapse After Definitive Treatment for Prostate Cancer,1,0.4228149965465895,0.4228149965465895,0
NCT02862600,"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",1,0.42051612217627177,0.42051612217627177,0
NCT04271917,Pain,0,0.03250673289490507,0.03250673289490507,0
NCT04729179,fibromyalgia,1,0.8322019493986923,0.8322019493986923,0
NCT01384539,chronic kidney disease,0,0.01830341613396092,0.01830341613396092,0
NCT03140449,facial angiofibroma,0,0.45833245231224495,0.45833245231224495,0
NCT01882764,Ulcerative Colitis,1,0.027873159135241445,0.027873159135241445,0
NCT02687815,Asthma,1,0.4496318370385374,0.4496318370385374,0
NCT04502667,COVID-19,1,0.9878175195739555,0.9878175195739555,0
NCT01395290,Diabetes,0,0.22564223635618946,0.22564223635618946,0
NCT01384539,chronic kidney disease,0,0.017325331387500812,0.017325331387500812,0
NCT03475225,drug-resistant epilepsy,1,0.657061121269088,0.657061121269088,0
NCT01292720,heart failure,0,0.02464975207480634,0.02464975207480634,0
NCT03742505,vitamin D deficiency,0,0.2705598416048638,0.2705598416048638,0
NCT03264547,Breast Cancer,0,0.04624867288938856,0.04624867288938856,0
NCT01454934,Lung Cancer,0,0.12764032900070837,0.12764032900070837,1
