NCT_ID,Disease,y,p,p_adj,is_offmech
NCT06514742,Major Depressive Disorder,1,0.8016415752983352,0.8016415752983352,0
NCT05469178,Lung Cancer,1,0.5410133690264597,0.5410133690264597,0
NCT05650567,Dermatomyositis; Polymyositis,1,0.49643464697236867,0.49643464697236867,0
NCT05395494,Fibromyalgia,1,0.8493928252838803,0.8493928252838803,0
NCT04925960,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,1,0.6509413888424069,0.6509413888424069,0
NCT05568225,"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",1,0.7247420826845135,0.7247420826845135,0
NCT04537299,Covid19; SARS-CoV Infection,1,0.49697183067484635,0.49697183067484635,0
NCT04781543,limited cutaneous systemic sclerosis,1,0.4750582745077024,0.4750582745077024,0
NCT05517668,Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,1,0.4296308247500888,0.4296308247500888,0
NCT05253209,Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,1,0.525858116952127,0.525858116952127,0
NCT06964165,Ovarian Cancer,1,0.0029252165210195973,0.0029252165210195973,0
NCT05267106,Glioblastoma; Adult-type Diffuse Gliomas,1,0.5020475435660492,0.5020475435660492,0
NCT05254990,Infectious Pneumonia; Severe COVID-19,1,0.4167707151931991,0.4167707151931991,0
NCT04641273,Participants With Diabetic Neuropathic Pain,1,0.33002690562475123,0.33002690562475123,0
NCT04947579,"Spondylitis, Ankylosing",1,0.648747573078814,0.648747573078814,0
NCT04638517,Adults and Children With Pulmonary Fibrosis,1,0.44357554011624617,0.44357554011624617,0
NCT05019521,Geographic Atrophy,1,0.5363913338257558,0.5363913338257558,0
NCT04968184,Chronic Kidney Diseases,1,0.010426544939959887,0.010426544939959887,0
NCT04628481,Type 1 Diabetes,1,0.4112652471780396,0.4112652471780396,0
NCT04858425,Covid19,1,0.9597365921495733,0.9597365921495733,0
NCT04635059,Biochemical Relapse After Definitive Treatment for Prostate Cancer,1,0.4228149965465895,0.4228149965465895,0
NCT04944784,Amyotrophic Lateral Sclerosis,1,0.914414930708378,0.914414930708378,0
NCT04311502,HIV; Tuberculosis,1,0.27026571092001517,0.27026571092001517,0
NCT04720664,Breast Cancer,1,0.38282446259788705,0.38282446259788705,0
NCT04551053,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,1,0.5581804136090392,0.5581804136090392,0
NCT04551066,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,1,0.5008614855948903,0.5008614855948903,0
NCT04393038,COVID-19,1,0.9941297077523504,0.9941297077523504,0
NCT04534283,Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,1,0.8364187676688841,0.8364187676688841,0
NCT04504734,Covid19,1,0.9863531657001687,0.9863531657001687,0
NCT04173273,Crohn's Disease,1,0.776585246383246,0.776585246383246,0
NCT04578548,Autosomal Dominant Polycystic Kidney Disease,1,0.7692301554466519,0.7692301554466519,1
NCT04534283,Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,1,0.9785983904246163,0.9785983904246163,0
NCT04447235,Cancer Patients With COVID-19 Infection,1,0.5421005104822849,0.5421005104822849,0
NCT04271475,Chronic Thromboembolic Pulmonary Hypertension,1,0.756041064255998,0.756041064255998,0
NCT04523090,COVID-19,1,0.9929489372794219,0.9929489372794219,0
NCT04504032,COVID-19,1,0.9855721464863982,0.9855721464863982,0
NCT04459715,Cell Carcinoma,1,0.31916429624062426,0.31916429624062426,0
NCT03942419,Myopia,1,0.14176031070280223,0.14176031070280223,0
NCT03340727,Apnea of Prematurity,1,0.6884410987992065,0.6884410987992065,0
NCT03890120,Primary Sclerosing Cholangitis,1,0.6851894915185938,0.6851894915185938,0
NCT03926624,"Leukemia, Myeloid, Acute",1,0.3460448386249938,0.3460448386249938,0
NCT03791398,metastatic colorectal cancer,1,0.4059006816663893,0.4059006816663893,0
NCT02644525,Loiasis,1,0.3275664311165606,0.3275664311165606,0
NCT04163900,Tract Cancer,1,0.32336162242826866,0.32336162242826866,0
NCT03955471,Ovarian Cancer,1,0.0010363444391619236,0.0010363444391619236,0
NCT03762265,Pemphigus,1,0.6332536284956878,0.6332536284956878,0
NCT03682055,Nasopharyngeal Carcinoma,1,0.09904746872838431,0.09904746872838431,0
NCT03599622,Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis,1,0.33509197849023126,0.33509197849023126,0
NCT03645603,Withdrawal Syndrome,1,0.5878139534938296,0.5878139534938296,0
NCT03372603,Cough,1,0.6294044691107284,0.6294044691107284,0
NCT03628391,Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,1,0.46926243579523896,0.46926243579523896,0
NCT03506373,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,1,0.7749224735565763,0.7749224735565763,0
NCT03506373,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,1,0.8379027790966636,0.8379027790966636,0
NCT03467217,NAFLD - Nonalcoholic Fatty Liver Disease,1,0.5318061186050134,0.5318061186050134,0
NCT03572478,Endometrial Cancer,1,0.8552473276163314,0.8552473276163314,0
NCT03530293,Tourette Syndrome,1,0.4704878540831821,0.4704878540831821,0
NCT03523728,"Polycystic Kidney, Autosomal Dominant",1,0.14859540110773165,0.5,1
NCT03517566,Atopic Dermatitis,1,0.020188696891270036,0.020188696891270036,0
NCT03690141,Prostate Cancer,1,0.46135585159793785,0.46135585159793785,0
NCT03131206,Lung Cancer,1,0.5886733906960162,0.5886733906960162,0
NCT02587962,Solid Tumors,1,0.9862202710268193,0.9862202710268193,0
NCT03028740,Nonalcoholic Steatohepatitis,1,0.01362918514984544,0.01362918514984544,0
NCT03170232,Disease Progression in Chronic Obstructive Pulmonary Disease,1,0.6030690816897162,0.6030690816897162,0
NCT03063203,Acute Myeloid Leukemia,1,0.5466949078099353,0.5466949078099353,0
NCT03071692,diabeTes,1,0.6987983596521976,0.6987983596521976,0
NCT02972658,Alzheimer's Disease,1,0.9928017374464057,0.9928017374464057,0
NCT02932475,Type 2 Diabetes,1,0.02835277196181335,0.02835277196181335,0
NCT02902484,Advanced Pancreatic Cancer,1,0.3238496099728055,0.3238496099728055,0
NCT03176277,Acute Leukemia,1,0.5270372208606385,0.5270372208606385,0
NCT02907918,Breast Cancer,1,0.031778353219325234,0.031778353219325234,0
NCT03151408,Acute Myeloid Leukemia,1,0.9692270404669914,0.9692270404669914,0
NCT02960217,Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),1,0.6540709937497841,0.6540709937497841,0
NCT03154333,epidermolysis bullosa,1,0.5929195422495825,0.5929195422495825,0
NCT02771626,With Melanoma,1,0.4463208477877593,0.4463208477877593,0
NCT02858362,Duchenne Muscular Dystrophy,1,0.46237462382548883,0.46237462382548883,0
NCT02641639,Subjects With Platinum Resistant Ovarian Cancer,1,0.41985628935334585,0.41985628935334585,0
NCT02603146,Rheumatoid Arthritis,1,0.688393915074254,0.688393915074254,0
NCT02817906,Alzheimer's Disease,1,0.9812754696675082,0.9812754696675082,0
NCT02703272,Hodgkin Lymphoma,1,0.3996993080658898,0.3996993080658898,0
NCT02814019,Duchenne Muscular Dystrophy (DMD),1,0.4668707257504682,0.4668707257504682,0
NCT02783573,Alzheimer's Disease,1,0.9958674307862662,0.9958674307862662,0
NCT02587351,Chronic Obstructive Pulmonary Disease,1,0.31594875136845246,0.5,1
NCT02847650,Parkinson's Disease,0,0.1823043385685303,0.1823043385685303,0
NCT02862600,"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",1,0.42051612217627177,0.42051612217627177,0
NCT02691182,Attention Deficit Hyperactivity Disorder (ADHD),1,0.3004257163588317,0.3004257163588317,0
NCT02779777,Myelodysplastic Syndromes,1,0.32416617512226986,0.32416617512226986,0
