row_idx,y,p,NCT_ID,Disease,Drug_Clean,Phase,endpoint_physiology_score,disease_is_oncology,is_combination,is_surrogate_pass,is_onc_cytotoxic_mono,efficacy_surgical_pass,surgical_reason,is_offmech,effect_size_uncertainty,confidence_tier,p_cap,p_adj,floor_applied,cap_applied
0,1,0.8016415752983352,NCT06514742,Major Depressive Disorder,Aticaprant,Phase 3,0,0,0,0,0,0,,0,90,low_confidence,0.8016415752983352,0.8016415752983352,0,0
3,1,0.5410133690264597,NCT05469178,Lung Cancer,Bemcentinib,Phase 2,0,1,1,0,0,0,,0,22,reliable,0.5410133690264597,0.5410133690264597,0,0
4,1,0.49643464697236867,NCT05650567,Dermatomyositis; Polymyositis,M5049,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.49643464697236867,0.49643464697236867,0,0
6,1,0.8493928252838803,NCT05395494,Fibromyalgia,D-Cycloserine,Phase 2,0,0,0,0,0,0,,0,90,low_confidence,0.8493928252838803,0.8493928252838803,0,0
7,1,0.6509413888424069,NCT04925960,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,Epalrestat,Phase 3,0,0,0,0,0,0,,0,32,reliable,0.6509413888424069,0.6509413888424069,0,0
8,1,0.7247420826845135,NCT05568225,"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",Etavopivat,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.7247420826845135,0.7247420826845135,0,0
9,1,0.49697183067484635,NCT04537299,Covid19; SARS-CoV Infection,Fisetin,Phase 2,0,0,0,0,0,0,,0,18,reliable,0.49697183067484635,0.49697183067484635,0,0
10,1,0.4750582745077024,NCT04781543,limited cutaneous systemic sclerosis,HZN-825 QD,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.4750582745077024,0.4750582745077024,0,0
11,1,0.4296308247500888,NCT05517668,Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,Intravenous of Fomepizole (4-MP),Phase 2,0,0,1,0,0,0,,0,29,reliable,0.4296308247500888,0.4296308247500888,0,0
12,1,0.525858116952127,NCT05253209,Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,L-citrulline,Phase 3,0,0,1,0,0,0,,0,44,reliable,0.525858116952127,0.525858116952127,0,0
14,1,0.0029252165210195973,NCT06964165,Ovarian Cancer,niraparib,Phase 2,0,1,1,0,0,0,,0,22,reliable,0.0029252165210195973,0.0029252165210195973,0,0
15,1,0.5020475435660492,NCT05267106,Glioblastoma; Adult-type Diffuse Gliomas,pemigatinib,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.5020475435660492,0.5020475435660492,0,0
17,1,0.4167707151931991,NCT05254990,Infectious Pneumonia; Severe COVID-19,Reparixin,Phase 3,0,0,0,0,0,0,,0,18,reliable,0.4167707151931991,0.4167707151931991,0,0
21,1,0.33002690562475123,NCT04641273,Participants With Diabetic Neuropathic Pain,BAY1817080,Phase 2,0,0,1,0,0,0,,0,19,reliable,0.33002690562475123,0.33002690562475123,0,0
23,1,0.648747573078814,NCT04947579,"Spondylitis, Ankylosing",CC-99677,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.648747573078814,0.648747573078814,0,0
25,1,0.44357554011624617,NCT04638517,Adults and Children With Pulmonary Fibrosis,danazol,Phase 2,0,0,0,0,0,0,,0,29,reliable,0.44357554011624617,0.44357554011624617,0,0
26,1,0.5363913338257558,NCT05019521,Geographic Atrophy,danicopan,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.5363913338257558,0.5363913338257558,0,0
29,1,0.010426544939959887,NCT04968184,Chronic Kidney Diseases,KBP-5074,Phase 3,0,0,0,0,0,0,,0,29,reliable,0.010426544939959887,0.010426544939959887,0,0
30,1,0.4112652471780396,NCT04628481,Type 1 Diabetes,DF2156A,Phase 2,0,0,0,0,0,0,,0,25,reliable,0.4112652471780396,0.4112652471780396,0,0
32,1,0.9597365921495733,NCT04858425,Covid19,niclosamide,Phase 2,0,0,0,0,0,0,,0,18,reliable,0.9597365921495733,0.9597365921495733,0,0
