row_idx,y,p,NCT_ID,Disease,Drug_Clean,Phase,risk_tolerance,confidence_tier,tier_threshold,p_adj
133,0,0.014525461534530538,NCT02847650,Parkinson's Disease,PF-06649751,Phase 2,55.0,B_serious_chronic,0.6,0.014525461534530538
243,1,0.21145073940940504,NCT05695378,Multiple System Atrophy,KM-819,Phase 2,85.0,A_tox_tolerated,0.65,0.21145073940940504
244,1,0.9970879806100132,NCT05583110,Metastatic Breast Cancer,tucatinib,Phase 2,88.0,A_tox_tolerated,0.65,0.9970879806100132
245,1,0.011781939333779912,NCT05930938,Neck Cancer,Xevinapant,Phase 3,85.0,A_tox_tolerated,0.65,0.011781939333779912
246,1,0.11856070702610488,NCT05360264,refracTory pAncreaTic cancEr,decitabine,Phase 2,95.0,A_tox_tolerated,0.65,0.11856070702610488
248,1,0.23505310731976242,NCT04706507,respiratory failure,ganciclovir,Phase 3,90.0,A_tox_tolerated,0.65,0.23505310731976242
249,1,0.11953053772825262,NCT05055258,"Angioedema, Hereditary, Types I and II",KVD824,Phase 2,55.0,B_serious_chronic,0.6,0.11953053772825262
250,1,0.3311009388628072,NCT04820842,Narcolepsy Type 1 (NT 1),TAK-994,Phase 2,35.0,C_benign,0.5,0.3311009388628072
251,1,0.30749736980973585,NCT04398134,Chronic Hepatitis B,ABI-H2158,Phase 2,55.0,B_serious_chronic,0.6,0.30749736980973585
252,1,0.2139947386300415,NCT04220411,"Dermatitis, Atopic",AR100DP1,Phase 2,20.0,C_benign,0.5,0.2139947386300415
254,1,0.48433786156917363,NCT04209621,Ibrutinib-Resistant Chronic Lymphocytic Leukemia,duvelisib,Phase 2,82.0,A_tox_tolerated,0.65,0.48433786156917363
256,1,0.6504398266163627,NCT04220632,"GVHD,Acute",Itacitinib,Phase 2,80.0,A_tox_tolerated,0.65,0.6504398266163627
258,1,0.3311009388628072,NCT04096560,Narcolepsy Type 1 (NT1); Narcolepsy Type 2 (NT2),TAK-994,Phase 2,35.0,C_benign,0.5,0.3311009388628072
259,1,0.7017724671525452,NCT03718143,Acute Myeloid Leukemia,AZD1775 only,Phase 2,90.0,A_tox_tolerated,0.65,0.7017724671525452
260,1,0.6990437532603767,NCT03953677,Septic Shock; Vasopressor Resistance,Dexmedetomidine,Phase 3,88.0,A_tox_tolerated,0.65,0.6990437532603767
261,1,0.13043015890884918,NCT03377309,Amyotrophic Lateral Sclerosis,perampanel,Phase 2,95.0,A_tox_tolerated,0.65,0.13043015890884918
262,1,0.13645559554280565,NCT04165031,Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer,LY3499446,Phase 2,90.0,A_tox_tolerated,0.65,0.13645559554280565
263,1,0.7508419903379892,NCT03301415,Congenital Cytomegalovirus Infection,valganciclovir,Phase 2,55.0,B_serious_chronic,0.6,0.7508419903379892
264,1,0.8545071082888386,NCT03531827,Prostate Cancer,enzalutamide,Phase 2,72.0,A_tox_tolerated,0.65,0.8545071082888386
