drug_class,n,fail_pct,pooled_AUC,conf_FN,conf_FP,miss_rate_pct
other / unclassified,1307,21.0,0.804,56,70,9.6
corticosteroid,163,10.4,0.757,3,11,8.6
kinase inhibitor (-nib),124,33.1,0.83,2,10,9.7
antimetabolite chemo,114,6.1,0.854,1,1,1.8
DPP-4 inhibitor,84,3.6,0.757,1,0,1.2
biguanide,84,10.7,0.696,7,9,19.0
taxane,78,1.3,0.571,0,4,5.1
SGLT2 inhibitor,70,11.4,0.512,5,3,11.4
JAK inhibitor,68,13.2,0.831,2,7,13.2
PPI,63,15.9,0.542,5,3,12.7
antipsychotic,54,11.1,0.583,2,6,14.8
NSAID / COX,49,4.1,0.883,0,4,8.2
SSRI/SNRI/antidepressant,45,20.0,0.716,1,6,15.6
anticonvulsant,43,7.0,0.1,3,6,20.9
local anaesthetic,40,5.0,0.632,1,1,5.0
SGLT/diuretic/vasopressin,33,18.2,0.728,0,7,21.2
statin,33,21.2,0.896,0,2,6.1
ARB,24,12.5,0.952,0,1,4.2
BTK inhibitor,24,16.7,0.85,0,3,12.5
antimalarial/aminoquinoline,20,100.0,,3,0,15.0
benzodiazepine / Z,19,5.3,,1,3,21.1
PARP inhibitor,19,21.1,,2,1,15.8
endothelin antagonist,13,7.7,,0,0,0.0
beta blocker,12,25.0,,1,2,25.0
SERM / hormonal,10,20.0,,0,3,30.0
PDE5 inhibitor,10,20.0,,0,3,30.0
calcium channel blocker,10,10.0,,0,1,10.0
CDK4/6 inhibitor,9,33.3,,1,3,44.4
ACE inhibitor,8,12.5,,1,0,12.5
antifungal azole,4,0.0,,0,0,0.0
thiazolidinedione,3,66.7,,0,0,0.0
platinum,1,0.0,,0,0,0.0
GLP-1 / incretin,1,0.0,,0,0,0.0
