drug_class,n,fail_pct,pooled_AUC,conf_FN,conf_FP,miss_rate_pct
other / unclassified,1413,3.9,0.825,40,6,3.3
corticosteroid,147,0.0,,0,0,0.0
antimetabolite chemo,113,5.3,0.79,3,0,2.7
kinase inhibitor (-nib),101,17.8,0.73,14,5,18.8
DPP-4 inhibitor,81,0.0,,0,0,0.0
taxane,77,0.0,,0,31,40.3
biguanide,75,0.0,,0,0,0.0
SGLT2 inhibitor,62,0.0,,0,0,0.0
JAK inhibitor,59,0.0,,0,0,0.0
PPI,54,0.0,,0,0,0.0
local anaesthetic,51,0.0,,0,0,0.0
NSAID / COX,49,0.0,,0,0,0.0
antipsychotic,48,0.0,,0,0,0.0
anticonvulsant,43,2.3,0.69,1,0,2.3
SSRI/SNRI/antidepressant,37,2.7,0.528,1,0,2.7
SGLT/diuretic/vasopressin,27,0.0,,0,0,0.0
statin,26,0.0,,0,0,0.0
benzodiazepine / Z,25,0.0,,0,1,4.0
ARB,21,0.0,,0,0,0.0
BTK inhibitor,20,0.0,,0,0,0.0
PARP inhibitor,15,0.0,,0,5,33.3
endothelin antagonist,15,20.0,,3,4,46.7
fluoroquinolone,13,0.0,,0,0,0.0
antifungal azole,9,0.0,,0,0,0.0
SERM / hormonal,9,0.0,,0,0,0.0
beta blocker,9,0.0,,0,0,0.0
calcium channel blocker,9,0.0,,0,0,0.0
PDE5 inhibitor,8,0.0,,0,0,0.0
antimalarial/aminoquinoline,8,12.5,,1,0,12.5
ACE inhibitor,7,0.0,,0,0,0.0
CDK4/6 inhibitor,6,0.0,,0,0,0.0
platinum,1,0.0,,0,0,0.0
GLP-1 / incretin,1,0.0,,0,0,0.0
thiazolidinedione,1,0.0,,0,0,0.0
