task,seed,fold,n,auc_raw,auc_cal
safety,42,0,575,0.7021961378265809,0.7021961378265809
safety,42,1,490,0.7584783913565426,0.7584783913565426
safety,42,2,463,0.8518099547511312,0.8518099547511312
safety,42,3,463,0.764294631710362,0.764294631710362
safety,42,4,649,0.7957184325108854,0.7957184325108854
safety,123,0,479,0.813558352402746,0.813558352402746
safety,123,1,560,0.8137100994243851,0.8137100994243851
safety,123,2,597,0.7153068657803678,0.7153068657803678
safety,123,3,448,0.6802662037037037,0.6802662037037037
safety,123,4,556,0.9328822438066136,0.9328822438066136
safety,456,0,628,0.8312313468759025,0.8312313468759025
safety,456,1,518,0.7988945578231292,0.7988945578231292
safety,456,2,502,0.7819004031818677,0.7819004031818677
safety,456,3,497,0.6071677105080028,0.6071677105080028
safety,456,4,495,0.8320206743785381,0.8320206743785381
safety,789,0,503,0.8189764492753624,0.8189764492753624
safety,789,1,585,0.8055065647658239,0.8055065647658239
safety,789,2,575,0.7629136851520573,0.7629136851520573
safety,789,3,493,0.7465107506601283,0.7465107506601283
safety,789,4,484,0.8439979846328254,0.8439979846328254
safety,2024,0,548,0.754769392033543,0.754769392033543
safety,2024,1,561,0.7398356401384083,0.7398356401384083
safety,2024,2,568,0.7742785926565047,0.7742785926565047
safety,2024,3,481,0.8614247311827956,0.8614247311827956
safety,2024,4,482,0.80813704496788,0.80813704496788
efficacy,42,0,531,0.7681681064034005,0.7716074774898304
efficacy,42,1,619,0.7877966813694603,0.7447490023104391
efficacy,42,2,476,0.7791942886282509,0.7725905150433452
efficacy,42,3,564,0.7770628588109371,0.770750218935487
efficacy,42,4,449,0.7418656612204999,0.731828655215752
efficacy,123,0,435,0.774578067055173,0.761787633391357
efficacy,123,1,523,0.7650540216086436,0.7522328931572628
efficacy,123,2,585,0.7731740724328244,0.7698706844458769
efficacy,123,3,612,0.7793726741095162,0.7722251757339476
efficacy,123,4,484,0.7737746786042241,0.7533000459136823
efficacy,456,0,550,0.7571158858174803,0.7520675573067372
efficacy,456,1,607,0.7914829866372779,0.7830107452817193
efficacy,456,2,553,0.7478562421185372,0.7436948297604036
efficacy,456,3,437,0.7336114843363271,0.7171876104943073
efficacy,456,4,492,0.7487299560096495,0.736540371789414
efficacy,789,0,600,0.6679738562091504,0.6680392156862746
efficacy,789,1,497,0.7460879497430041,0.7284123358081098
efficacy,789,2,431,0.7795217510635377,0.7846507479072321
efficacy,789,3,474,0.7517705874184142,0.7465629773642549
efficacy,789,4,637,0.7615235408217246,0.7594339622641509
efficacy,2024,0,536,0.7715989949040697,0.7624873775919969
efficacy,2024,1,500,0.7860880160550459,0.7285872993119266
efficacy,2024,2,625,0.7911425657508422,0.7759603795160244
efficacy,2024,3,501,0.8032095063579322,0.7958381920151035
efficacy,2024,4,477,0.7643099722136462,0.7652824945970977
overall,42,0,741,0.8205187766163375,0.8157568718544327
overall,42,1,508,0.7870098039215687,0.7719240196078432
overall,42,2,589,0.7819526996134502,0.779957604222952
overall,42,3,723,0.7572279569417121,0.7471043964545434
overall,42,4,572,0.7013370216689718,0.7017980636237897
overall,123,0,677,0.7549837236770086,0.7532768703367614
overall,123,1,531,0.770104981677726,0.7639397840942854
overall,123,2,698,0.762250830564784,0.7485465116279071
overall,123,3,631,0.7925738904845733,0.768615460638068
overall,123,4,596,0.7789805381400209,0.7700006530825496
overall,456,0,665,0.751260453461341,0.7391767050086042
overall,456,1,727,0.7813707189339141,0.7771447460527339
overall,456,2,642,0.7853093724888597,0.7727372342756957
overall,456,3,605,0.7709869480464446,0.7641643359606747
overall,456,4,494,0.7617440078942584,0.7600431068062012
overall,789,0,538,0.7480889262921664,0.7503681885125184
overall,789,1,684,0.7518342074386123,0.7418114477162527
overall,789,2,642,0.8234731751209088,0.820894323312499
overall,789,3,648,0.7457751707751709,0.7452554202554202
overall,789,4,621,0.7900751822887151,0.7823680531943028
overall,2024,0,713,0.7221096871985668,0.7143998897616095
overall,2024,1,582,0.7839094796863862,0.7705096222380613
overall,2024,2,588,0.7744492858871944,0.7677923021060277
overall,2024,3,523,0.7637743933677983,0.7389152810768012
overall,2024,4,727,0.7875432480257771,0.7569064786202889
