row_idx,y,p,NCT_ID,Disease,Drug_Clean,Phase,risk_tolerance,confidence_tier,tier_threshold,safety_cytotoxic_cap,cap_reason,p_adj,cap_applied
133,0,0.00015042299709236073,NCT02847650,Parkinson's Disease,PF-06649751,Phase 2,55.0,B_serious_chronic,0.6,0,,0.00015042299709236073,0
243,1,0.11098852736019371,NCT05695378,Multiple System Atrophy,KM-819,Phase 2,85.0,A_tox_tolerated,0.65,0,,0.11098852736019371,0
244,1,0.8983032021737862,NCT05583110,Metastatic Breast Cancer,tucatinib,Phase 2,88.0,A_tox_tolerated,0.65,0,,0.8983032021737862,0
245,1,0.00015899742335112436,NCT05930938,Neck Cancer,Xevinapant,Phase 3,85.0,A_tox_tolerated,0.65,0,,0.00015899742335112436,0
246,1,0.0015156078317225547,NCT05360264,refracTory pAncreaTic cancEr,decitabine,Phase 2,95.0,A_tox_tolerated,0.65,1,cytotoxic_managed_toxicity,0.0015156078317225547,1
248,1,0.0021995397937777895,NCT04706507,respiratory failure,ganciclovir,Phase 3,90.0,A_tox_tolerated,0.65,0,,0.0021995397937777895,0
249,1,0.0045826485190261605,NCT05055258,"Angioedema, Hereditary, Types I and II",KVD824,Phase 2,55.0,B_serious_chronic,0.6,0,,0.0045826485190261605,0
250,1,0.004853221903767467,NCT04820842,Narcolepsy Type 1 (NT 1),TAK-994,Phase 2,35.0,C_benign,0.5,0,,0.004853221903767467,0
251,1,0.0010598199999821184,NCT04398134,Chronic Hepatitis B,ABI-H2158,Phase 2,55.0,B_serious_chronic,0.6,0,,0.0010598199999821184,0
252,1,0.01949373159870786,NCT04220411,"Dermatitis, Atopic",AR100DP1,Phase 2,20.0,C_benign,0.5,0,,0.01949373159870786,0
254,1,0.2026412947121631,NCT04209621,Ibrutinib-Resistant Chronic Lymphocytic Leukemia,duvelisib,Phase 2,82.0,A_tox_tolerated,0.65,0,,0.2026412947121631,0
256,1,0.4709515922487292,NCT04220632,"GVHD,Acute",Itacitinib,Phase 2,80.0,A_tox_tolerated,0.65,0,,0.4709515922487292,0
258,1,0.004853221903767467,NCT04096560,Narcolepsy Type 1 (NT1); Narcolepsy Type 2 (NT2),TAK-994,Phase 2,35.0,C_benign,0.5,0,,0.004853221903767467,0
259,1,0.39158102890328783,NCT03718143,Acute Myeloid Leukemia,AZD1775 only,Phase 2,90.0,A_tox_tolerated,0.65,0,,0.39158102890328783,0
260,1,0.041396525615103034,NCT03953677,Septic Shock; Vasopressor Resistance,Dexmedetomidine,Phase 3,88.0,A_tox_tolerated,0.65,0,,0.041396525615103034,0
261,1,0.0012733110829484208,NCT03377309,Amyotrophic Lateral Sclerosis,perampanel,Phase 2,95.0,A_tox_tolerated,0.65,0,,0.0012733110829484208,0
262,1,0.0006962341963064652,NCT04165031,Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer,LY3499446,Phase 2,90.0,A_tox_tolerated,0.65,0,,0.0006962341963064652,0
263,1,0.07731825083658336,NCT03301415,Congenital Cytomegalovirus Infection,valganciclovir,Phase 2,55.0,B_serious_chronic,0.6,0,,0.07731825083658336,0
264,1,0.43435266809059075,NCT03531827,Prostate Cancer,enzalutamide,Phase 2,72.0,A_tox_tolerated,0.65,0,,0.43435266809059075,0
267,1,0.13152101653607562,NCT03729297,Gland Cancer,cabozantinib,Phase 2,75.0,A_tox_tolerated,0.65,0,,0.13152101653607562,0
269,1,0.11825151546836721,NCT03436420,Non-Alcoholic Fatty Liver Disease,Gemcabene,Phase 2,40.0,B_serious_chronic,0.6,0,,0.11825151546836721,0
272,1,0.7685813523541217,NCT03093272,Prostate Cancer,apalutamide,Phase 2,72.0,A_tox_tolerated,0.65,0,,0.7685813523541217,0
273,1,0.01324704542297844,NCT03373422,Endometriosis,BAY1128688,Phase 2,20.0,C_benign,0.5,0,,0.01324704542297844,0
274,1,0.9985867015627559,NCT03131453,Alzheimer's Disease,CNP520,Phase 2/3,60.0,B_serious_chronic,0.6,0,,0.9985867015627559,0
275,1,0.0010108372855936922,NCT03381118,Acute Myeloid Leukemia,cytarabine,Phase 2,90.0,A_tox_tolerated,0.65,1,cytotoxic_managed_toxicity,0.0010108372855936922,1
277,1,0.002391866740021829,NCT02722369,Lung Cancer,hydroxychloroquine,Phase 2,90.0,A_tox_tolerated,0.65,0,,0.002391866740021829,0
278,1,0.06003753958096501,NCT02874651,Nasopharyngeal Carcinoma,Apatinib,Phase 2,85.0,A_tox_tolerated,0.65,0,,0.06003753958096501,0
279,1,0.0016698229263600293,NCT02618577,Atrial High Rate Episodes,edoxaban,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0016698229263600293,0
280,1,0.9968842024598719,NCT02956486,Alzheimer's Disease,Elenbecestat,Phase 3,60.0,B_serious_chronic,0.6,0,,0.9968842024598719,0
281,1,0.08842155287447814,NCT02711137,Solid Tumors,INCB057643,Phase 2,85.0,A_tox_tolerated,0.65,0,,0.08842155287447814,0
282,1,0.010887934305468054,NCT02820519,Neuropathic Pain,loxapine,Phase 2,30.0,C_benign,0.5,0,,0.010887934305468054,0
