task,k,precision,n_positives_in_top_k,base_rate
overall,10,0.9,9,0.1835301627832748
overall,25,0.88,22,0.1835301627832748
overall,50,0.86,43,0.1835301627832748
overall,100,0.75,75,0.1835301627832748
overall,250,0.596,149,0.1835301627832748
overall,500,0.498,249,0.1835301627832748
safety,10,0.3,3,0.032196969696969696
safety,25,0.2,5,0.032196969696969696
safety,50,0.24,12,0.032196969696969696
safety,100,0.22,22,0.032196969696969696
safety,250,0.152,38,0.032196969696969696
safety,500,0.11,55,0.032196969696969696
efficacy,10,1.0,10,0.17468738158393332
efficacy,25,0.88,22,0.17468738158393332
efficacy,50,0.86,43,0.17468738158393332
efficacy,100,0.77,77,0.17468738158393332
efficacy,250,0.6,150,0.17468738158393332
efficacy,500,0.442,221,0.17468738158393332
