task,seed,fold,n,auc_raw,auc_cal
safety,42,0,713,0.7674165457184325,0.7674165457184325
safety,42,1,644,0.7857285031847133,0.7857285031847133
safety,42,2,685,0.6525778143425203,0.6525778143425203
safety,42,3,531,0.7598853132488873,0.7598853132488873
safety,42,4,520,0.6611221122112212,0.6611221122112212
safety,123,0,549,0.6383477633477633,0.6383477633477633
safety,123,1,606,0.7093607101228369,0.7093607101228369
safety,123,2,759,0.7285778810169052,0.7285778810169052
safety,123,3,556,0.7931902985074627,0.7931902985074627
safety,123,4,623,0.7368856744510283,0.7368856744510283
safety,456,0,487,0.7693141998998833,0.7693141998998833
safety,456,1,647,0.7061157796451913,0.7061157796451913
safety,456,2,678,0.7463941436544177,0.7463941436544177
safety,456,3,666,0.825089605734767,0.825089605734767
safety,456,4,615,0.6960878627545294,0.6960878627545294
safety,789,0,555,0.5868761552680222,0.5868761552680222
safety,789,1,610,0.6033775252525253,0.6033775252525253
safety,789,2,651,0.791913571325336,0.791913571325336
safety,789,3,706,0.8005601884270164,0.8005601884270164
safety,789,4,571,0.6878388278388279,0.6878388278388279
safety,2024,0,547,0.7010051923845029,0.7010051923845029
safety,2024,1,662,0.8080141476880607,0.8080141476880607
safety,2024,2,570,0.8040210688591982,0.8040210688591982
safety,2024,3,748,0.63708162568306,0.63708162568306
safety,2024,4,566,0.8065497637921372,0.8065497637921372
efficacy,42,0,510,0.8213025633640554,0.8213025633640554
efficacy,42,1,487,0.8246079518453984,0.8246079518453984
efficacy,42,2,642,0.7941927814452285,0.7941927814452285
efficacy,42,3,582,0.7866353383458646,0.7866353383458646
efficacy,42,4,586,0.7604166666666667,0.7604166666666667
efficacy,123,0,450,0.7729149985250116,0.7729149985250116
efficacy,123,1,591,0.7553050397877985,0.7553050397877985
efficacy,123,2,524,0.8105223289605068,0.8105223289605068
efficacy,123,3,632,0.786282334701846,0.786282334701846
efficacy,123,4,610,0.8071253071253072,0.8071253071253072
efficacy,456,0,655,0.8369070584161844,0.8369070584161844
efficacy,456,1,504,0.7445414847161571,0.7445414847161571
efficacy,456,2,425,0.8121612466124661,0.8121612466124661
efficacy,456,3,653,0.7408600833129135,0.7408600833129135
efficacy,456,4,570,0.8496460449369037,0.8496460449369037
efficacy,789,0,510,0.8561013191025593,0.8561013191025593
efficacy,789,1,541,0.8063825530212084,0.8063825530212084
efficacy,789,2,538,0.8253273516431411,0.8253273516431411
efficacy,789,3,655,0.7988049915397631,0.7988049915397631
efficacy,789,4,563,0.7891941502166587,0.7891941502166587
efficacy,2024,0,563,0.7941630287520699,0.7941630287520699
efficacy,2024,1,479,0.8116282949616282,0.8116282949616282
efficacy,2024,2,503,0.7216117216117216,0.7216117216117216
efficacy,2024,3,711,0.7873139974779317,0.7873139974779317
efficacy,2024,4,551,0.8122885766328389,0.8122885766328389
overall,42,0,783,0.7766092943201377,0.7766092943201377
overall,42,1,622,0.8287026865075402,0.8287026865075402
overall,42,2,773,0.8051957975167146,0.8051957975167146
overall,42,3,579,0.7648932903423921,0.7648932903423921
overall,42,4,658,0.8434409888357257,0.8434409888357257
overall,123,0,718,0.7823311827956989,0.7823311827956989
overall,123,1,582,0.8021857519528843,0.8021857519528843
overall,123,2,689,0.7643269868333806,0.7643269868333806
overall,123,3,723,0.8055064130915524,0.8055064130915524
overall,123,4,703,0.8129684908789387,0.8129684908789387
overall,456,0,738,0.7649262688614542,0.7649262688614542
overall,456,1,766,0.791276921690547,0.791276921690547
overall,456,2,601,0.7676390193901085,0.7676390193901085
overall,456,3,557,0.868556287136663,0.868556287136663
overall,456,4,753,0.8160208926875594,0.8160208926875594
overall,789,0,560,0.8098588126655488,0.8098588126655488
overall,789,1,648,0.8020833333333334,0.8020833333333334
overall,789,2,673,0.7928439006303298,0.7928439006303298
overall,789,3,764,0.7635408410056297,0.7635408410056297
overall,789,4,770,0.7769245453283353,0.7769245453283353
overall,2024,0,651,0.7937384462245818,0.7937384462245818
overall,2024,1,750,0.7873439059917187,0.7873439059917187
overall,2024,2,651,0.7981426686392898,0.7981426686392898
overall,2024,3,684,0.8149990786806707,0.8149990786806707
overall,2024,4,679,0.7805146761542816,0.7805146761542816
