IK14,approved_score,failed_score,delta
CMSMOCZEIVJLDB,0.42309811732585945,0.4368735612196384,-0.013775443893778938
DTGLZDAWLRGWQN,0.8661907602336479,0.6175721609692817,0.24861859926436625
FBOZXECLQNJBKD,0.8459347370589656,0.6164654016619056,0.22946933539706005
FELGMEQIXOGIFQ,0.6144053064389247,0.49985241532214464,0.11455289111678002
GOTYRUGSSMKFNF,0.9637908823187988,0.4980873650033814,0.4657035173154174
GYHCTFXIZSNGJT,0.4702586681906784,0.387660982225161,0.08259768596551742
HFNKQEVNSGCOJV,0.611165961824516,0.6326568099906617,-0.02149084816614566
HGVDHZBSSITLCT,0.6735265623529385,0.5623542640629763,0.11117229828996222
HYAFETHFCAUJAY,0.9925632122077571,0.2646799642487959,0.7278832479589612
IMOZEMNVLZVGJZ,0.8367717308168654,0.16149133661298087,0.6752803942038845
JGCMEBMXRHSZKX,0.8031520442111048,0.24395893574400196,0.5591931084671028
JVHXJTBJCFBINQ,0.8635123943223497,0.7252287785631046,0.13828361575924508
KFQYTPMOWPVWEJ,0.34008685913697806,0.4850554261000156,-0.14496856696303756
KPWSJANDNDDRMB,0.8711438533605006,0.7510727571125709,0.12007109624792967
KTUFNOKKBVMGRW,0.9885433515007335,0.339310680116985,0.6492326713837484
KUVIULQEHSCUHY,0.9939375754160413,0.9207946394821455,0.07314293593389587
KVWDHTXUZHCGIO,0.5628570680310784,0.6744031674731386,-0.11154609944206018
LIRYPHYGHXZJBZ,0.6187387770886534,0.012132040894732632,0.6066067361939208
LQBVNQSMGBZMKD,0.9767987209241537,0.2245340827600003,0.7522646381641533
LTXREWYXXSTFRX,0.9685831585173679,0.5400555183748481,0.42852764014251976
LUKZNWIVRBCLON,0.8260383397589663,0.5227950122175983,0.30324332754136807
MFFMDFFZMYYVKS,0.9001295226444677,0.5340956133148334,0.3660339093296343
MJIHNNLFOKEZEW,0.7629016641902363,0.545150370170336,0.21775129401990034
NKANXQFJJICGDU,0.7982420898639058,0.07315277625554262,0.7250893136083632
OBWASQILIWPZMG,0.9085162215417792,0.7679588159387991,0.14055740560298013
OEKWJQXRCDYSHL,0.8757100610562721,0.7568539155021986,0.11885614555407353
OFCNXPDARWKPPY,0.991954788333853,0.5661369323523234,0.42581785598152955
ONIQOQHATWINJY,0.8549091838705581,0.2729160390593307,0.5819931448112274
OOUGLTULBSNHNF,0.4987153955918707,0.5642870684175357,-0.065571672825665
PTKSEFOSCHHMPD,0.996582425912155,0.343843157633656,0.6527392682784989
QPFYXYFORQJZEC,0.7528859536633417,0.5946676069999718,0.15821834666336987
QXWZQTURMXZVHJ,0.9878284169473031,0.6093968671797404,0.37843154976756266
RMRJXGBAOAMLHD,0.9571874589160332,0.9931196491098854,-0.03593219019385219
RYYVLZVUVIJVGH,0.8718139750383638,0.6282186839062577,0.2435952911321061
RZEKVGVHFLEQIL,0.7858548256388235,0.5160357833677993,0.26981904227102416
SDUQYLNIPVEERB,0.6664278226029935,0.7042185293916134,-0.037790706788619954
SUBDBMMJDZJVOS,0.7429427889128949,0.8317641641215409,-0.08882137520864597
TVYLLZQTGLZFBW,0.7756507618421578,0.20507756916179676,0.570573192680361
ULXXDDBFHOBEHA,0.6414323650507321,0.6017396349469983,0.03969273010373375
UREBDLICKHMUKA,0.7974993025411751,0.4548774391713242,0.34262186336985084
UVSMNLNDYGZFPF,0.9948013468667258,0.455519449061495,0.5392818978052308
VGKDLMBJGBXTGI,0.6096196439609772,0.3902038187062965,0.21941582525468073
VJJPUSNTGOMMGY,0.8907877228083159,0.8424902326685426,0.04829749013977325
VOVIALXJUBGFJZ,0.5919780713027842,0.4582188909579784,0.13375918034480583
VSNHCAURESNICA,0.6114201574877007,0.93978284505644,-0.3283626875687393
WAEXFXRVDQXREF,0.7279826744436257,0.024225061407021742,0.703757613036604
WBXPDJSOTKVWSJ,0.8075874892625675,0.6725687661596604,0.13501872310290708
WDZCUPBHRAEYDL,0.8886026438882637,0.7297342890799848,0.15886835480827888
WGFOBBZOWHGYQH,0.9839592941866837,0.6614469477467663,0.32251234643991744
WMWTYOKRWGGJOA,0.7861585685332568,0.5115526415728311,0.27460592696042574
WOSKHXYHFSIKNG,0.5043419844647736,0.3892399583496867,0.11510202611508691
WOXKDUGGOYFFRN,0.8554659341914821,0.2365024466261363,0.6189634875653458
XGALLCVXEZPNRQ,0.8201651088712391,0.7135625298163288,0.10660257905491022
XOFYZVNMUHMLCC,0.3853675588246427,0.37923891895232575,0.006128639872316932
XUKUURHRXDUEBC,0.900240520354347,0.5448157666804792,0.35542475367386783
XYFPWWZEPKGCCK,0.9655895040144672,0.3704303275553663,0.5951591764591009
XZWYZXLIPXDOLR,0.8644770654416146,0.8137217635298958,0.05075530191171884
YQNWZWMKLDQSAC,0.6241188934108963,0.6346588522234067,-0.010539958812510353
ZCVMWBYGMWKGHF,0.9066471004483958,0.17205644757345018,0.7345906528749456
ZEUITGRIYCTCEM,0.3173848908607443,0.23979258332069808,0.0775923075400462
