step,cutoff,feature_set,task,metric,auc,auc_sd,n_train,n_test,pos_train,pos_test
1,2016,FULL,overall,mean_test_auc,0.7906442689064428,0.003253212923620541,1811,356,266,137
1,2016,FULL,efficacy,mean_test_auc,0.7788532555879494,0.001299985001656668,1475,301,200,105
1,2016,FULL,safety,mean_test_auc,0.7249368863955119,0.008839866428539282,1587,261,44,31
1,2016,FULL_NO_PLAUS,overall,mean_test_auc,0.7091157550911577,0.0058294008601583085,1811,356,266,137
1,2016,FULL_NO_PLAUS,efficacy,mean_test_auc,0.6855296404275996,0.004468817074481311,1475,301,200,105
1,2016,STRUCTURAL_ONLY,overall,mean_test_auc,0.6852981368529812,0.005424256597755214,1811,356,266,137
1,2016,STRUCTURAL_ONLY,efficacy,mean_test_auc,0.6789018464528669,0.0024298153394769237,1475,301,200,105
1,2016,PUBLIC_ONLY,overall,mean_test_auc,0.7764023597640236,0.0017014108231323097,1811,356,266,137
1,2016,PUBLIC_ONLY,efficacy,mean_test_auc,0.7717735665694849,0.0038179682690763672,1475,301,200,105
1,2017,FULL,overall,mean_test_auc,0.821715872156013,0.0026001108794833213,2085,246,309,104
1,2017,FULL,efficacy,mean_test_auc,0.8302121583027336,0.003400475958961034,1700,205,239,76
1,2017,FULL,safety,mean_test_auc,0.6889814814814815,0.00815340739361161,1823,187,49,27
1,2017,FULL_NO_PLAUS,overall,mean_test_auc,0.7658856988082341,0.008527187438285315,2085,246,309,104
1,2017,FULL_NO_PLAUS,efficacy,mean_test_auc,0.7273561811505507,0.005202958280235364,1700,205,239,76
1,2017,STRUCTURAL_ONLY,overall,mean_test_auc,0.7558911159263273,0.008771717713060097,2085,246,309,104
1,2017,STRUCTURAL_ONLY,efficacy,mean_test_auc,0.7059975520195838,0.004921225443229754,1700,205,239,76
1,2017,PUBLIC_ONLY,overall,mean_test_auc,0.8150325027085591,0.0053506211158681335,2085,246,309,104
1,2017,PUBLIC_ONLY,efficacy,mean_test_auc,0.8133618931048552,0.004233838569505009,1700,205,239,76
1,2018,FULL,overall,mean_test_auc,0.7982022471910113,0.005432196086374151,2318,199,354,89
1,2018,FULL,efficacy,mean_test_auc,0.7945740281224153,0.002137518650814018,1909,158,276,65
1,2018,FULL,safety,mean_test_auc,0.663840579710145,0.0100131188889615,2017,143,55,23
1,2018,FULL_NO_PLAUS,overall,mean_test_auc,0.7392441266598571,0.006416595364851372,2318,199,354,89
1,2018,FULL_NO_PLAUS,efficacy,mean_test_auc,0.6953846153846154,0.0035948856456828673,1909,158,276,65
1,2018,STRUCTURAL_ONLY,overall,mean_test_auc,0.7135035750766089,0.01378820407000022,2318,199,354,89
1,2018,STRUCTURAL_ONLY,efficacy,mean_test_auc,0.6913151364764267,0.0017600577109373973,1909,158,276,65
1,2018,PUBLIC_ONLY,overall,mean_test_auc,0.782226762002043,0.004652591915106439,2318,199,354,89
1,2018,PUBLIC_ONLY,efficacy,mean_test_auc,0.8019520264681557,0.0023427495076394542,1909,158,276,65
3,2016,GENETIC_AXIS_ONLY,overall,mean_test_auc,0.6466486684664867,0.004470525995854206,1811,356,266,137
3,2016,GENETIC_AXIS_ONLY,efficacy,mean_test_auc,0.615,0.0037175536714277317,1475,301,200,105
3,2017,GENETIC_AXIS_ONLY,overall,mean_test_auc,0.6592091007583967,0.008977085739364093,2085,246,309,104
3,2017,GENETIC_AXIS_ONLY,efficacy,mean_test_auc,0.610750713994288,0.0003838206389682934,1700,205,239,76
3,2018,GENETIC_AXIS_ONLY,overall,mean_test_auc,0.6241675178753829,0.005848051433042774,2318,199,354,89
3,2018,GENETIC_AXIS_ONLY,efficacy,mean_test_auc,0.5930355665839537,0.009194232055386312,1909,158,276,65
2,2016,STRAT,efficacy,full_knowable,0.7944155844155845,,1475,263,200,88
2,2016,STRAT,efficacy,noplaus_knowable,0.6852597402597402,,1475,263,200,88
2,2016,STRAT,efficacy,increment_knowable,0.10915584415584423,,1475,263,200,88
2,2016,STRAT,efficacy,full_not_knowable,0.6862745098039216,,1475,38,200,17
2,2016,STRAT,efficacy,noplaus_not_knowable,0.711484593837535,,1475,38,200,17
2,2016,STRAT,efficacy,increment_not_knowable,-0.025210084033613467,,1475,38,200,17
2,2017,STRAT,efficacy,full_knowable,0.8435047951176984,,1700,173,239,62
2,2017,STRAT,efficacy,noplaus_knowable,0.7156349898285381,,1700,173,239,62
2,2017,STRAT,efficacy,increment_knowable,0.12786980528916025,,1700,173,239,62
2,2017,STRAT,efficacy,full_not_knowable,0.7658730158730159,,1700,32,239,14
2,2017,STRAT,efficacy,noplaus_not_knowable,0.7896825396825398,,1700,32,239,14
2,2017,STRAT,efficacy,increment_not_knowable,-0.023809523809523836,,1700,32,239,14
2,2018,STRAT,efficacy,full_knowable,0.8031674208144797,,1909,129,276,51
2,2018,STRAT,efficacy,noplaus_knowable,0.6872800402212167,,1909,129,276,51
2,2018,STRAT,efficacy,increment_knowable,0.11588738059326298,,1909,129,276,51
2,2018,STRAT,efficacy,full_not_knowable,0.7714285714285715,,1909,29,276,14
2,2018,STRAT,efficacy,noplaus_not_knowable,0.780952380952381,,1909,29,276,14
2,2018,STRAT,efficacy,increment_not_knowable,-0.00952380952380949,,1909,29,276,14
