ik14,rank,transcript,union_max,parent_score,metab_score
APVQOOKHDZVJEX,0,ENST00000675784,1.0,0,1.0
APVQOOKHDZVJEX,1,ENST00000481781,1.0,0,1.0
APVQOOKHDZVJEX,2,ENST00000374837,1.0,0,1.0
APVQOOKHDZVJEX,3,ENST00000339091,1.0,0,1.0
APVQOOKHDZVJEX,4,ENST00000351486,1.0,0,1.0
APVQOOKHDZVJEX,5,ENST00000465073,1.0,0,1.0
APVQOOKHDZVJEX,6,ENST00000389568,1.0,0,1.0
APVQOOKHDZVJEX,7,ENST00000685104,1.0,0,1.0
APVQOOKHDZVJEX,8,ENST00000316752,1.0,0,1.0
APVQOOKHDZVJEX,9,ENST00000295030,1.0,0,1.0
APVQOOKHDZVJEX,10,ENST00000696899,1.0,0,1.0
APVQOOKHDZVJEX,11,ENST00000376624,1.0,0,1.0
APVQOOKHDZVJEX,12,ENST00000328381,1.0,0,1.0
APVQOOKHDZVJEX,13,ENST00000381389,1.0,0,1.0
APVQOOKHDZVJEX,14,ENST00000645063,1.0,0,1.0
APVQOOKHDZVJEX,15,ENST00000699251,1.0,0,1.0
APVQOOKHDZVJEX,16,ENST00000366592,1.0,0,1.0
APVQOOKHDZVJEX,17,ENST00000643466,1.0,0,1.0
APVQOOKHDZVJEX,18,ENST00000684074,1.0,0,1.0
APVQOOKHDZVJEX,19,ENST00000265421,1.0,0,1.0
APVQOOKHDZVJEX,20,ENST00000268668,1.0,0,1.0
APVQOOKHDZVJEX,21,ENST00000686776,1.0,0,1.0
APVQOOKHDZVJEX,22,ENST00000693089,1.0,0,1.0
APVQOOKHDZVJEX,23,ENST00000172229,1.0,0,1.0
APVQOOKHDZVJEX,24,ENST00000356970,1.0,0,1.0
APVQOOKHDZVJEX,25,ENST00000354955,1.0,0,1.0
APVQOOKHDZVJEX,26,ENST00000537958,1.0,0,1.0
APVQOOKHDZVJEX,27,ENST00000404406,1.0,0,1.0
APVQOOKHDZVJEX,28,ENST00000216797,1.0,0,1.0
APVQOOKHDZVJEX,29,ENST00000375615,1.0,0,1.0
APVQOOKHDZVJEX,30,ENST00000538630,1.0,0,1.0
APVQOOKHDZVJEX,31,ENST00000343975,1.0,0,1.0
APVQOOKHDZVJEX,32,ENST00000566433,1.0,0,1.0
APVQOOKHDZVJEX,33,ENST00000262776,1.0,0,1.0
APVQOOKHDZVJEX,34,ENST00000675018,1.0,0,1.0
APVQOOKHDZVJEX,35,ENST00000334047,1.0,0,1.0
APVQOOKHDZVJEX,36,ENST00000312553,1.0,0,1.0
APVQOOKHDZVJEX,37,ENST00000408946,1.0,0,1.0
APVQOOKHDZVJEX,38,ENST00000696580,1.0,0,1.0
APVQOOKHDZVJEX,39,ENST00000377928,1.0,0,1.0
APVQOOKHDZVJEX,40,ENST00000700106,1.0,0,1.0
APVQOOKHDZVJEX,41,ENST00000688285,1.0,0,1.0
APVQOOKHDZVJEX,42,ENST00000553342,1.0,0,1.0
APVQOOKHDZVJEX,43,ENST00000584394,1.0,0,1.0
APVQOOKHDZVJEX,44,ENST00000601951,1.0,0,1.0
APVQOOKHDZVJEX,45,ENST00000454002,1.0,0,1.0
APVQOOKHDZVJEX,46,ENST00000675956,1.0,0,1.0
APVQOOKHDZVJEX,47,ENST00000244174,1.0,0,1.0
APVQOOKHDZVJEX,48,ENST00000491190,1.0,0,1.0
APVQOOKHDZVJEX,49,ENST00000372318,1.0,0,1.0
AYXYPKUFHZROOJ,0,ENST00000675784,1.0,0.7451,1.0
AYXYPKUFHZROOJ,1,ENST00000481781,1.0,0.7451,1.0
AYXYPKUFHZROOJ,2,ENST00000374837,1.0,0.7451,1.0
AYXYPKUFHZROOJ,3,ENST00000339091,1.0,0.7451,1.0
AYXYPKUFHZROOJ,4,ENST00000351486,1.0,0.7451,1.0
AYXYPKUFHZROOJ,5,ENST00000465073,1.0,0.7451,1.0
AYXYPKUFHZROOJ,6,ENST00000389568,1.0,0.7451,1.0
AYXYPKUFHZROOJ,7,ENST00000685104,1.0,0.7451,1.0
AYXYPKUFHZROOJ,8,ENST00000316752,1.0,0.7451,1.0
AYXYPKUFHZROOJ,9,ENST00000295030,1.0,0.7451,1.0
AYXYPKUFHZROOJ,10,ENST00000696899,1.0,0.7451,1.0
AYXYPKUFHZROOJ,11,ENST00000376624,1.0,0.7451,1.0
AYXYPKUFHZROOJ,12,ENST00000328381,1.0,0.7451,1.0
AYXYPKUFHZROOJ,13,ENST00000381389,1.0,0.7451,1.0
AYXYPKUFHZROOJ,14,ENST00000645063,1.0,0.7451,1.0
AYXYPKUFHZROOJ,15,ENST00000699251,1.0,0.7451,1.0
AYXYPKUFHZROOJ,16,ENST00000366592,1.0,0.7451,1.0
AYXYPKUFHZROOJ,17,ENST00000643466,1.0,0.7451,1.0
AYXYPKUFHZROOJ,18,ENST00000684074,1.0,0.7451,1.0
AYXYPKUFHZROOJ,19,ENST00000265421,1.0,0.7451,1.0
AYXYPKUFHZROOJ,20,ENST00000268668,1.0,0.7451,1.0
AYXYPKUFHZROOJ,21,ENST00000686776,1.0,0.7451,1.0
AYXYPKUFHZROOJ,22,ENST00000693089,1.0,0.7451,1.0
AYXYPKUFHZROOJ,23,ENST00000172229,1.0,0.7451,1.0
